ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,K562_nucleus,MCF.7_cell,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000283122,0.002134564,0.3452508,0,0,0.143448894,0.1585789,0.124609785,0.122534369,0.114763897,0.063060371,0.388059702,0.47761194,0.353233831,0.231560014,0,0,0,0,0,0,0,9.15E-05,0,0.000152287,4.93E-05,5.38E-05,1.93E-05,0.000300533,0,0,1.45E-05,0,6.70E-05,2.62E-05,3.86E-05,0,0.000203024,2.80E-05,0.000146036,0.000455732,6.78E-05,9.30E-05,9.13E-05,0.000212372,2.95E-05,0.000120167,8.02E-06,0,0.000251594,0,0,1.28E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
ENSG00000282508,0.026761146,0.459089292,0,0,0.276883871,0.041622581,0.237210353,0.07376308,0,0.080222194,0,0,0,0.227476264,0.043100598,0.013272744,0.017365539,0.017900014,0.092780315,0.012036275,0.057935933,0.020156578,0.001891042,0.01358212,0.130372795,0.044006274,0.002824804,0.067025892,0.033350957,0.002028656,0.00950422,0.017607001,0.027509877,0.002506437,0.011029594,0.006509082,0.142897941,0.036965035,0.007198694,0.092430708,0.004427377,0.200275227,0.019226628,0.011574265,0.001955124,0.016618017,0.004435159,0,0.087185865,0.004575602,0.012341083,0.005827476,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
ENSG00000282393,0.001922345,0.328708645,0,0,0,0,0,0,0,0,0,0,0,0.224114659,0,0.000862507,0.001171953,0.00052092,6.52E-05,2.04E-05,1.01E-05,0.000682916,0.000434657,0.000333128,0.000268178,0.000950034,0.000552121,0.001074847,0.000294664,0.000817259,0.000785194,0.001070284,0.000218833,0,0,0.000840501,0.000230094,0.000827157,0.000317842,0,0.000361419,0.000263006,0,0.000955673,0.00055767,0,0.000133589,0.000317264,0.004717386,0,0.002062049,0.001329073,0.000800467,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282057,0.062430304,0.327107791,0,0,0.355161654,0.152906015,0.408739485,0.296193387,0.277021395,0.227563212,0.084577114,0.412935323,0.31840796,0.215979858,9.02E-05,0.00077872,0,0,0.000228042,2.04E-05,5.63E-05,0.004400231,0.001800724,0.004330669,0,0,1.93E-05,8.13E-05,8.08E-05,0.000162292,0,0.00097601,0,0,1.93E-05,0.000130489,0.000123168,0,0.000326432,0.000745743,0.001671561,0.000207217,0,0.00444801,0.000770896,0.000810582,4.81E-05,9.52E-05,0,0,0,5.11E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSG00000282021,0.001413929,0.450017787,0,0,0.020905762,0.023527021,0.151879035,0,0,0,0,0,0,0.217242642,6.01E-05,0.000207002,0,2.26E-05,0.000146598,2.80E-05,1.21E-05,0,0,0,4.10E-05,5.38E-05,1.93E-05,1.06E-05,1.01E-05,4.06E-05,1.93E-05,0.000282821,9.86E-06,0,3.62E-06,7.68E-06,4.06E-06,0.000107484,0.000231939,0.000441922,0,0.000103608,0,0,0,6.55E-05,5.08E-05,0,0,0,4.24E-05,0.00028115,3.81E-06,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000281881,0.000413372,0.473319104,0,0,0.186217949,0.257958689,0.080063217,0.179487179,0.272079772,0,0,0,0,0.218202269,0.000158869,0.000369646,0.000154786,0.000309532,0.002948251,0.000359482,0.001488994,0.000922288,9.03E-05,0.002095853,0.003319386,0.002572261,0,0.000378318,0.000666783,0,0.000346834,0.002833757,0.000376551,0,0,0,0,0,0,0,0.000248475,0,0.001854157,0,0,0.002420821,0,0.012817478,0,0,0,0.000230032,0.001498016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000281649,0.006889324,0.312522234,0,0,0.147779772,0.205356172,0.188062414,0.086587436,0.046920821,0.034264547,0.422885572,0.014925373,0.069651741,0.224270671,0.009132793,0.01817671,0.045514517,0.033655951,0.013177541,0.004216903,0.002652018,0.010546473,0.006152943,0.003135214,0.006800227,0.018937934,0.008898134,0.010826253,0.004719682,0.010977928,0.009682454,0.01879374,0.011600123,0.017891133,0.005640353,0.022682003,0.003969801,0.01517389,0.015668757,0.016986369,0.00523304,0.009858747,0,0.025472822,0.00937541,0.003948035,0.005856547,0.02467096,0.014955542,0.033469846,0.014398673,0.025955272,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
ENSG00000281501,0.026515726,0.348452508,0,0,0.154655337,0.200423968,0.280811836,0.019986216,0.061337009,0.020905123,0.064676617,0,0,0.215942448,0.002404496,0.00283395,0.005601787,0.006688913,0,0.00031614,0.000136826,0.002787986,0.003855468,0.000262696,0.000637607,0,0.002824804,0.00314322,0.000215526,0.004312344,0.003844079,0.00145847,0.000897018,0,0.000450311,0.002851561,0.000448007,0.005677942,0.011365003,0.000966704,0,0.001291121,0,0,0.002112584,0.000231595,0.009813456,0,0.00023444,0,0,0.002760383,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
ENSG00000281468,0.000369106,0.172002846,0,0,0.009187697,0.014460568,0.11530511,0,0,0,0,0,0,0.60441301,0,0.00208973,0.004053925,0.000558668,0,7.90E-05,2.62E-05,0.000471705,0.000395143,0,0,0.00083352,0,0.000848563,0,0,0.000602143,0.001214467,0.000652556,0,7.97E-05,0,0,0.000799118,0.000609913,0,0,0.000882001,0,0,0.001512269,0.000421677,0.000205727,0.002987165,0.002084227,0.000969484,0.001567157,0.001955272,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000281406,0.001904768,0.530594095,0,0,0.150683929,0.198272636,0.168393377,0.147343802,0.145339125,0.116939526,0.07960199,0,0.139303483,0.221272355,0.002292859,6.90E-05,0.001253031,0.000966344,0.006835816,0.001353794,0.002243551,0,0,0,0.0020387,0.00298454,0.001322522,0.001994124,0.002407829,0.001634517,0.002591622,0.000377095,0.001289341,2.10E-05,2.05E-05,3.84E-05,0,7.48E-05,1.72E-05,0,0,0.000491476,0,5.90E-05,0,0,6.95E-05,0.003655861,0,0.002201725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
ENSG00000281398,0.005907645,0.404838136,0,0,0.018782178,0.066055446,0.186683756,0.021376434,0.023983316,0.008863399,0.268656716,0.169154229,0,0.216045532,0.10462565,0.03220846,0.119222236,0.118286551,0.112147554,0.041215508,0.032345366,0.016974331,0.015416227,0.008219705,0.018624685,0.06541788,0.01935633,0.093925348,0.010909317,0.003929797,0.022356353,0.010098377,0.026307281,0,0,0.062235425,0.05883372,0.008075295,0.09133236,0.147947135,0.008832166,0.010658392,0,0.014087332,0.014669991,0.047234409,0.002546208,0.073192875,0.021940132,0.026012975,0.011449386,0.092996805,0.148511323,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
ENSG00000281344,0.133414489,0.298292423,0,0,0.152861293,0.20282352,0.215914944,0.079059172,0.085844174,0.058562711,0.587064677,0.84079602,0.691542289,0.21602087,8.59E-06,2.46E-05,0.000206382,1.51E-05,3.26E-05,7.65E-06,1.61E-05,2.11E-05,0,4.19E-05,3.56E-05,4.48E-05,0,4.60E-05,8.42E-06,0,9.63E-06,1.11E-05,0.00014786,0,2.29E-05,0,5.28E-05,1.40E-05,0,0.000138101,0,2.66E-05,0,0,0,6.55E-06,0,0,5.72E-05,0,1.78E-05,1.28E-05,3.81E-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
ENSG00000281332,0.001678227,0.471362504,0,0,0.10226276,0.131328544,0.135555374,0.043478261,0,0.011720227,0,0,0,0.245113674,0.00056248,0.001143437,0.000250606,0,0.00048866,6.63E-05,0.000197191,0.000535068,0.000485462,0.000295057,0.000965988,0.000950034,0.0002889,0.000523281,7.41E-05,7.54E-05,0,0.000743099,0.000230662,0.000382782,0.000213686,0.000341573,0.000366797,0.001051471,0.002800447,0.017994504,0.000293653,0.00136285,0.000108706,0.000401147,0.000357565,0.000758145,0.000537028,0.000942031,0.000343083,0.002908452,0.000285343,0.004434505,0.000278257,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000281207,0.019030105,0.514585557,0,0,0.048931613,0.105530323,0.11282358,0.14970809,0.128857381,0.140325271,0,0,0,0.21834498,0.000227568,0.002119302,0.000324314,0.000505821,0.000944743,0.000155521,0.000917542,0.000591391,5.08E-05,0.000896591,0.001551601,0,3.21E-05,0.00031114,0.001038902,5.80E-05,0.00037092,0.00016082,0.001460858,0,0.001708283,0.000322384,0,0.000271046,0.001640753,0.049039511,0,0.00066947,0,0.00060172,1.64E-05,0.000749406,0,0.000575957,0.000563227,0,0,0.000102236,0.002504317,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0
