ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,K562_nucleus,MCF.7_cell,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000283095,0.002337019,0.53699751,0.0,0.0,0.959244565,0.162336957,0.914538978,0.118069146,0.0,0.120026093,0.0,0.0,0.0,0.217430244,0.000931742,0.0,0.0,0.0,0.0,0.0,0.0,8.21e-05,0.0,0.0,0.000502067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000113694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000283078,0.00100251,0.537175382,0.0,0.0,0.002501556,0.045588675,0.196242518,0.0,0.025513379,0.0,0.0,0.203980099,0.0,0.216231195,0.000124519,0.0,0.000361168,0.0,0.000126727,0.000152412,0.000140866,0.000552775,0.000609456,0.00026322,0.0,0.0,1.74e-05,8.67e-05,0.0,0.000346979,0.000225474,0.000692971,0.000564172,0.000232801,0.000682288,0.000163216,0.000524782,0.0,0.002669911,8.61e-05,0.000294961,0.000114814,0.000412938,0.00034466,0.0,0.00013819,0.0,0.001252251,0.0,0.000508267,0.000191693,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000283075,0.000257137,0.397901103,0.0,0.0,0.004424242,0.006538961,0.066429505,0.0,0.0,0.0,0.0,0.0,0.0,0.284935571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000504706,0.0,0.0,0.0,0.010480398,0.0,0.0,0.0,0.0,0.000146948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283064,0.007792233,0.38758449,0.0,0.0,0.021089961,0.040422425,0.151876703,0.006349206,0.0,0.0,0.049751244,0.0,0.0,0.216154713,0.000128812,2.46e-05,0.0,0.000324631,0.0,0.000208861,5.71e-05,0.0,0.0,0.0,9.9e-05,1.52e-05,0.0,1.45e-05,0.000316094,5.13e-05,0.00027791,0.000117105,0.000107461,4.47e-05,7.94e-05,0.0,0.0,4.52e-05,0.000100952,0.0,0.0,4.26e-05,3.5e-05,6.15e-05,0.0,0.0,0.0,0.0,0.000117788,2.68e-05,3.83e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000283031,0.011833518,0.603344006,0.0,0.0,0.942888199,0.99547205,0.696232505,0.101519081,0.101148573,0.072619489,0.975124378,1.0,1.0,0.29914681,0.0,9.86e-06,6.63e-05,0.0,2.11e-05,0.0,5.9e-05,0.000166927,7.17e-05,0.0,0.0,4.04e-05,0.0,0.0,0.000571188,0.000270091,0.0,3.38e-05,0.0,0.0,1.4e-05,0.0,0.0,0.0,0.000127518,2.26e-05,0.0,0.0,0.000176973,0.0,0.0,0.0,0.0,6.58e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ENSG00000283029,0.000151027,0.746353611,0.0,0.0,0.98351505,0.995929766,0.998430457,0.996655518,1.0,1.0,0.55721393,0.502487562,0.502487562,0.219436234,0.0,0.0,0.150253186,0.0,0.0,0.0,0.0,0.039917467,0.066341026,0.0,0.0,0.0,0.0,0.0,0.0,0.030504538,0.0,0.0,0.0,0.0,0.0,0.118649601,0.0,0.0,0.031435881,0.0,0.0,0.086711062,0.0,0.044549297,0.0,0.0,0.0,0.0,0.040663961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282977,0.000339812,0.515119175,0.0,0.0,0.931757216,0.98624618,0.94724037,0.938879457,1.0,1.0,0.796019901,1.0,0.800995025,0.21937527,0.0,0.000665362,0.000810785,0.000354829,0.0,0.000146767,0.002202454,0.004567235,0.001362312,0.00013482,0.0,0.000493352,0.0,0.000274577,0.001208922,0.002783714,0.000162551,0.002678926,0.000479738,0.002398393,0.000733693,0.002327979,0.013851487,0.0,0.001912772,0.000170238,0.0,0.0,0.000845539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000282961,0.008240759,0.33173248,0.0,0.0,0.188972969,0.120117083,0.260881757,0.174288858,0.028131385,0.197548326,0.029850746,0.0,0.0,0.305091622,0.0,0.0,0.0,0.0,1.41e-05,0.0,2.28e-05,0.0,0.0,0.0,0.0,5.05e-05,0.0,2.41e-05,0.0,3.94e-06,0.0,0.0,0.0,4.06e-06,2.8e-05,0.0,0.0,0.0,2.92e-05,0.0,0.0,0.0,0.0,0.0,2.31e-05,0.0,1.95e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0.0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
ENSG00000282944,0.00676759,0.365884027,0.0,0.0,0.307980769,0.082179487,0.739170314,0.276607854,0.0,0.159931702,0.199004975,0.0,0.0,0.222360007,0.0,0.0,0.0,0.0,0.000119686,5.64e-05,0.00027031,0.000383111,6.27e-05,0.0,0.000226284,0.0,0.0,0.0,0.000105365,0.0,0.0,0.0,0.0,0.0,2.8e-05,0.0,0.0,0.0,3.98e-05,0.0,0.0,0.0,0.0,0.0,0.000282595,0.0,0.0,1.14e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000282907,0.004786658,0.759694059,0.0,0.0,0.756300813,0.325878049,0.520139111,0.496172582,0.281837161,0.39874739,0.069651741,0.099502488,0.0,0.216458701,0.0,0.0,0.0,0.0,0.000718118,0.0,0.000207491,0.002098903,0.0,0.0001284,0.000233355,0.000107763,5.8e-05,0.0,0.000831827,0.000419923,0.0,0.0,0.0,0.0,0.0,0.001030839,0.0,0.001129433,0.007332294,0.0,0.0,0.0,0.001083689,0.000264506,0.0,8.03e-05,0.002257458,0.0,0.0,0.0,0.000332268,0.001377946,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
