ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,K562_nucleus,A549_cytosol,A549_nucleus,IMR.90_cytosol,IMR.90_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000283103,0.010687142,0.483991462,0.0,0.0,0.010090909,0.002218182,0.015202684,0.0,0.0,0.0,0.0,0.0,0.0,0.221938247,0.003576688,0.002626949,0.00285986,0.006855003,0.009148808,0.001613845,0.000758582,0.008223152,0.004973158,0.000365489,0.000667708,0.003620883,0.003511745,0.001290523,0.000495036,0.005575907,0.003550233,0.006793252,0.000457381,0.004142437,0.00033562,0.001420024,0.000254457,0.011313461,0.006849788,0.007138017,0.0,0.005698644,0.004303897,0.000906715,0.000236457,0.0,6.35e-05,0.001049261,0.0,0.001524801,0.000319489,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283029,0.000151027,0.746353611,0.0,0.0,0.98351505,0.995929766,0.998430457,0.996655518,1.0,1.0,0.55721393,0.502487562,0.502487562,0.219436234,0.0,0.0,0.150253186,0.0,0.08568931,0.007847416,0.017910177,0.0,0.0,0.0,0.039917467,0.066341026,0.0,0.0,0.0,0.0,0.0,0.0,0.030504538,0.0,0.0,0.0,0.0,0.118649601,0.0,0.0,0.0,0.0,0.086711062,0.0,0.0,0.0,0.0,0.0,0.040663961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282876,0.00033851,0.469761651,0.0,0.0,0.004582624,0.010597956,0.057317126,0.0,0.0,0.0,0.049751244,0.0,0.0,0.216041376,0.0,5.91e-05,0.000375909,0.0,0.0,6.88e-05,0.0,0.0,4.52e-05,0.0,0.0,0.000690119,0.000526441,0.0,0.0,0.0,0.0,0.000166365,4.93e-05,9.44e-05,0.0,0.0,0.0,0.000249119,0.00011048,0.0,0.0,0.0,0.0,4.59e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282772,0.005653763,0.440234792,0.0,0.0,0.530228682,0.433158915,0.57492425,0.421281216,0.365906623,0.478827362,0.268656716,0.313432836,0.104477612,0.216015327,0.0,0.0,0.0,0.000551118,0.000162887,1.27e-05,8.45e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.22e-05,0.0,0.000720917,0.000128145,0.0,0.000156945,0.0,3.79e-05,0.000154626,0.000234771,0.0,3.38e-05,0.0,0.0,0.0,0.0,2.89e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282386,0.000417929,0.43738883,0.0,0.0,0.040328632,0.043007052,0.126404638,0.0,0.0,0.0,0.0,0.0,0.0,0.217008208,0.0,0.0,0.00075919,0.00052092,0.0,0.000303393,4.43e-05,0.000337938,0.000208861,0.0,0.0,0.000645306,0.0002568,0.000176784,6.74e-05,0.0,0.000125246,0.001125739,8.48e-05,0.000623987,0.000184712,0.0,1.76e-05,0.000446697,0.0,0.000368948,0.0,0.000589922,0.00055767,0.0,0.0,0.000388861,2.68e-05,0.00035166,0.0,0.0,0.001405751,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
ENSG00000282221,0.000969961,0.623621487,0.0,0.0,0.004866499,0.046848866,0.059611249,0.037906137,0.057761733,0.041516245,0.298507463,0.243781095,0.328358209,0.216026966,0.0,0.0,0.0,0.0,0.001009898,0.000509904,0.000209264,0.0,0.0,0.0,0.000593823,0.001998656,0.002073663,0.0,0.001112989,0.006926412,0.003863347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000281501,0.026515726,0.348452508,0.0,0.0,0.154655337,0.200423968,0.280811836,0.019986216,0.061337009,0.020905123,0.064676617,0.0,0.0,0.215942448,0.002404496,0.00283395,0.005601787,0.006688913,0.0,0.00031614,0.000136826,0.002787986,0.003855468,0.000262696,0.000637607,0.0,0.002824804,0.00314322,0.000215526,0.004312344,0.003844079,0.00145847,0.000897018,0.0,0.000450311,0.002851561,0.000448007,0.011365003,0.000966704,0.0,0.0,0.0,0.002112584,0.000231595,0.000622863,0.000800219,0.0,0.00023444,0.0,0.0,0.002760383,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
ENSG00000281358,0.000470008,0.789754536,0.0,0.0,0.169523447,0.189373891,0.204438135,0.17617237,0.15842839,0.164765526,0.199004975,0.0,0.0,0.216910111,0.0,6.9e-05,0.000471729,0.0,0.0,6.88e-05,8.85e-05,0.000802602,0.0,3.81e-05,0.000218921,0.000564643,0.000577801,0.0,0.0,0.0,0.0,0.001070284,0.000542154,0.0,0.0,0.0,0.000128582,0.000867623,0.0,0.000948724,0.0,0.001073658,0.000511744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001405751,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000280832,0.009524492,0.521878335,0.0,0.0,0.005531034,0.271834483,0.028027,0.028233396,0.024737833,0.041140091,0.029850746,0.353233831,0.343283582,0.230310531,0.0,0.002084802,0.002012221,0.002785789,0.001140208,0.000438517,0.000374261,0.003822921,0.004442538,0.000574884,0.0,0.002124132,0.001643523,0.0,0.000505139,0.005581703,0.002736136,0.005246054,0.000471181,0.008421207,0.001418539,0.006470703,0.001031363,0.00420067,0.002154369,0.002567578,0.0,0.004058662,0.002352054,0.000747221,0.001949329,0.000848424,0.004029257,0.001440947,0.004004784,0.0,0.002019169,0.001414158,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
ENSG00000280426,0.001068259,0.348096763,0.0,0.0,0.086318501,0.159929157,0.107578654,0.069672131,0.101873536,0.0,0.432835821,0.233830846,0.144278607,0.215964894,0.000253331,0.000414003,0.000840268,0.000619064,0.000168316,3.57e-05,1.41e-05,0.000295696,0.000231441,6.66e-05,7.94e-05,0.000304728,0.0,0.000332354,6.57e-05,6.96e-05,0.000130063,0.000820736,0.000289806,0.000272667,0.00014125,0.000610226,9.34e-05,0.000498239,0.000317631,0.0,0.0,0.000448341,0.000246031,0.0,0.000265293,0.000170328,0.000327026,0.0,0.000299,0.000289801,0.000460064,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
