ENSEMBL ID,label,Data Source
ENSG00000283103,1,HepG2
ENSG00000282851,1,HepG2
ENSG00000282221,1,HepG2
ENSG00000282164,1,HepG2
ENSG00000281501,1,HepG2
ENSG00000281358,1,HepG2
ENSG00000280798,1,HepG2
ENSG00000280710,1,HepG2
ENSG00000280325,1,HepG2
ENSG00000280247,1,HepG2
ENSG00000280206,1,HepG2
ENSG00000280187,1,HepG2
ENSG00000280123,1,HepG2
ENSG00000280119,1,HepG2
ENSG00000280099,1,HepG2
ENSG00000280088,1,HepG2
ENSG00000279970,1,HepG2
ENSG00000279692,1,HepG2
ENSG00000279504,1,HepG2
ENSG00000279423,1,HepG2
ENSG00000279227,1,HepG2
ENSG00000278922,1,HepG2
ENSG00000278903,1,HepG2
ENSG00000278834,1,HepG2
ENSG00000278611,1,HepG2
ENSG00000278607,1,HepG2
ENSG00000278532,1,HepG2
ENSG00000278451,1,HepG2
ENSG00000278291,1,HepG2
ENSG00000278238,1,HepG2
ENSG00000277969,1,HepG2
ENSG00000277247,1,HepG2
ENSG00000277232,1,HepG2
ENSG00000277011,1,HepG2
ENSG00000276863,1,HepG2
ENSG00000276131,1,HepG2
ENSG00000276075,1,HepG2
ENSG00000275765,1,HepG2
ENSG00000275719,1,HepG2
ENSG00000275645,1,HepG2
ENSG00000275552,1,HepG2
ENSG00000275496,1,HepG2
ENSG00000275457,1,HepG2
ENSG00000275234,1,HepG2
ENSG00000275091,1,HepG2
ENSG00000275055,1,HepG2
ENSG00000274828,1,HepG2
ENSG00000274712,1,HepG2
ENSG00000274605,1,HepG2
ENSG00000274528,1,HepG2
ENSG00000274460,1,HepG2
ENSG00000274265,1,HepG2
ENSG00000274104,1,HepG2
ENSG00000274002,1,HepG2
ENSG00000273783,1,HepG2
ENSG00000273702,1,HepG2
ENSG00000273669,1,HepG2
ENSG00000273478,1,HepG2
ENSG00000273456,1,HepG2
ENSG00000273382,1,HepG2
ENSG00000273314,1,HepG2
ENSG00000273297,1,HepG2
ENSG00000273015,1,HepG2
ENSG00000272931,1,HepG2
ENSG00000272902,1,HepG2
ENSG00000272888,1,HepG2
ENSG00000272870,1,HepG2
ENSG00000272853,1,HepG2
ENSG00000272841,1,HepG2
ENSG00000272831,1,HepG2
ENSG00000272716,1,HepG2
ENSG00000272711,1,HepG2
ENSG00000272688,1,HepG2
ENSG00000272686,1,HepG2
ENSG00000272667,1,HepG2
ENSG00000272654,1,HepG2
ENSG00000272644,1,HepG2
ENSG00000272599,1,HepG2
ENSG00000272572,1,HepG2
ENSG00000272525,1,HepG2
ENSG00000272502,1,HepG2
ENSG00000272501,1,HepG2
ENSG00000272473,1,HepG2
ENSG00000272449,1,HepG2
ENSG00000272447,1,HepG2
ENSG00000272384,1,HepG2
ENSG00000272338,1,HepG2
ENSG00000272288,1,HepG2
ENSG00000272273,1,HepG2
ENSG00000272267,1,HepG2
ENSG00000272173,1,HepG2
ENSG00000272156,1,HepG2
ENSG00000272146,1,HepG2
ENSG00000272142,1,HepG2
ENSG00000272106,1,HepG2
ENSG00000272086,1,HepG2
ENSG00000272008,1,HepG2
ENSG00000271888,1,HepG2
ENSG00000271869,1,HepG2
ENSG00000271851,1,HepG2
ENSG00000271755,1,HepG2
ENSG00000271737,1,HepG2
ENSG00000271643,1,HepG2
ENSG00000271122,1,HepG2
ENSG00000270996,1,HepG2
ENSG00000270964,1,HepG2
ENSG00000270696,1,HepG2
ENSG00000270504,1,HepG2
ENSG00000270194,1,HepG2
ENSG00000269976,1,HepG2
ENSG00000269893,1,HepG2
ENSG00000269439,1,HepG2
ENSG00000269293,1,HepG2
ENSG00000269176,1,HepG2
ENSG00000268996,1,HepG2
ENSG00000268713,1,HepG2
ENSG00000268654,1,HepG2
ENSG00000268621,1,HepG2
ENSG00000268516,1,HepG2
ENSG00000268403,1,HepG2
ENSG00000268129,1,HepG2
ENSG00000268061,1,HepG2
ENSG00000268001,1,HepG2
ENSG00000267939,1,HepG2
ENSG00000267787,1,HepG2
ENSG00000267575,1,HepG2
ENSG00000267374,1,HepG2
ENSG00000267317,1,HepG2
ENSG00000267296,1,HepG2
ENSG00000267219,1,HepG2
ENSG00000267194,1,HepG2
ENSG00000267106,1,HepG2
ENSG00000267100,1,HepG2
ENSG00000267040,1,HepG2
ENSG00000266921,1,HepG2
ENSG00000266903,1,HepG2
ENSG00000266709,1,HepG2
ENSG00000266473,1,HepG2
ENSG00000266402,1,HepG2
ENSG00000266304,1,HepG2
ENSG00000266208,1,HepG2
ENSG00000266053,1,HepG2
ENSG00000265688,1,HepG2
ENSG00000265666,1,HepG2
ENSG00000265451,1,HepG2
ENSG00000265254,1,HepG2
ENSG00000265096,1,HepG2
ENSG00000264964,1,HepG2
ENSG00000264920,1,HepG2
ENSG00000264575,1,HepG2
ENSG00000264247,1,HepG2
ENSG00000264207,1,HepG2
ENSG00000263823,1,HepG2
ENSG00000263812,1,HepG2
ENSG00000263470,1,HepG2
ENSG00000263033,1,HepG2
ENSG00000262445,1,HepG2
ENSG00000262420,1,HepG2
ENSG00000262294,1,HepG2
ENSG00000262222,1,HepG2
ENSG00000261824,1,HepG2
ENSG00000261777,1,HepG2
ENSG00000261737,1,HepG2
ENSG00000261572,1,HepG2
ENSG00000261487,1,HepG2
ENSG00000261481,1,HepG2
ENSG00000261455,1,HepG2
ENSG00000261189,1,HepG2
ENSG00000261188,1,HepG2
ENSG00000261135,1,HepG2
ENSG00000261094,1,HepG2
ENSG00000261055,1,HepG2
ENSG00000260963,1,HepG2
ENSG00000260920,1,HepG2
ENSG00000260912,1,HepG2
ENSG00000260806,1,HepG2
ENSG00000260772,1,HepG2
ENSG00000260708,1,HepG2
ENSG00000260589,1,HepG2
ENSG00000260588,1,HepG2
ENSG00000260566,1,HepG2
ENSG00000260329,1,HepG2
ENSG00000260278,1,HepG2
ENSG00000260274,1,HepG2
ENSG00000260260,1,HepG2
ENSG00000260231,1,HepG2
ENSG00000260100,1,HepG2
ENSG00000260086,1,HepG2
ENSG00000260083,1,HepG2
ENSG00000260032,1,HepG2
ENSG00000260000,1,HepG2
ENSG00000259985,1,HepG2
ENSG00000259953,1,HepG2
ENSG00000259943,1,HepG2
ENSG00000259877,1,HepG2
ENSG00000259802,1,HepG2
ENSG00000259642,1,HepG2
ENSG00000259623,1,HepG2
ENSG00000259456,1,HepG2
ENSG00000259417,1,HepG2
ENSG00000259319,1,HepG2
ENSG00000259248,1,HepG2
ENSG00000259153,1,HepG2
ENSG00000259001,1,HepG2
ENSG00000258940,1,HepG2
ENSG00000258920,1,HepG2
ENSG00000258738,1,HepG2
ENSG00000258708,1,HepG2
ENSG00000258704,1,HepG2
ENSG00000258655,1,HepG2
ENSG00000258604,1,HepG2
ENSG00000258512,1,HepG2
ENSG00000258474,1,HepG2
ENSG00000258101,1,HepG2
ENSG00000258056,1,HepG2
ENSG00000257913,1,HepG2
ENSG00000257698,1,HepG2
ENSG00000257345,1,HepG2
ENSG00000257264,1,HepG2
ENSG00000257167,1,HepG2
ENSG00000256806,1,HepG2
ENSG00000256073,1,HepG2
ENSG00000255874,1,HepG2
ENSG00000255857,1,HepG2
ENSG00000255650,1,HepG2
ENSG00000255517,1,HepG2
ENSG00000255471,1,HepG2
ENSG00000255153,1,HepG2
ENSG00000255135,1,HepG2
ENSG00000254837,1,HepG2
ENSG00000254682,1,HepG2
ENSG00000254635,1,HepG2
ENSG00000254614,1,HepG2
ENSG00000254531,1,HepG2
ENSG00000254485,1,HepG2
ENSG00000254473,1,HepG2
ENSG00000254109,1,HepG2
ENSG00000253982,1,HepG2
ENSG00000253738,1,HepG2
ENSG00000253669,1,HepG2
ENSG00000253616,1,HepG2
ENSG00000253210,1,HepG2
ENSG00000253196,1,HepG2
ENSG00000251602,1,HepG2
ENSG00000251580,1,HepG2
ENSG00000251393,1,HepG2
ENSG00000251169,1,HepG2
ENSG00000251164,1,HepG2
ENSG00000251003,1,HepG2
ENSG00000250829,1,HepG2
ENSG00000250362,1,HepG2
ENSG00000250132,1,HepG2
ENSG00000249790,1,HepG2
ENSG00000249673,1,HepG2
ENSG00000249550,1,HepG2
ENSG00000249464,1,HepG2
ENSG00000249456,1,HepG2
ENSG00000249395,1,HepG2
ENSG00000249348,1,HepG2
ENSG00000249042,1,HepG2
ENSG00000248727,1,HepG2
ENSG00000248461,1,HepG2
ENSG00000248275,1,HepG2
ENSG00000248008,1,HepG2
ENSG00000247796,1,HepG2
ENSG00000247735,1,HepG2
ENSG00000247498,1,HepG2
ENSG00000247400,1,HepG2
ENSG00000247363,1,HepG2
ENSG00000247317,1,HepG2
ENSG00000247271,1,HepG2
ENSG00000247240,1,HepG2
ENSG00000247151,1,HepG2
