ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,K562_nucleus,MCF.7_cell,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000283103,0.010687142,0.483991462,0.0,0.0,0.010090909,0.002218182,0.015202684,0.0,0.0,0.0,0.0,0.0,0.0,0.221938247,0.003576688,0.002626949,0.00285986,0.006855003,0.009148808,0.001613845,0.000758582,0.008223152,0.004973158,0.000365489,0.000667708,0.003620883,0.003511745,0.001290523,0.000495036,0.005575907,0.003550233,0.006793252,0.000457381,0.000254457,0.001958072,0.011313461,0.006849788,0.007138017,0.000611024,0.0,0.005698644,0.004303897,0.000906715,0.002340481,0.000236457,0.0,6.35e-05,0.001049261,0.0,0.001524801,0.000319489,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283025,0.003604477,0.422269655,0.0,0.0,0.061841496,0.062638468,0.050634162,0.090246442,0.072544255,0.040610899,0.0,0.0,0.0,0.220556584,0.0,9.86e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000178914,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
ENSG00000282906,0.011360256,0.196015653,0.0,0.0,0.022647205,0.297463354,0.361625861,0.0,0.0,0.0,0.0,0.0,0.0,0.429691581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87e-05,0.0,0.0,0.0,1.06e-05,0.0,0.0,0.0,0.0,5.34e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282885,0.002006972,0.461223764,0.0,0.0,0.006452716,0.045173038,0.113820383,0.027945619,0.0,0.0,0.0,0.0,0.0,0.218157931,0.0,0.000330217,0.00114247,0.001472165,0.000162887,2.8e-05,4.43e-05,0.0,0.0,2.86e-05,0.0,0.0,0.000391621,0.000434889,0.0,0.0,0.000144514,0.000532369,0.00016166,0.000105573,0.00011683,0.000317842,0.0,0.0,0.000167368,0.0,0.00060172,0.000328041,0.00022504,0.0,0.0,0.0,0.0,0.0,0.000969484,0.0,0.000191693,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000282882,0.02657171,0.469228033,0.0,0.0,0.020016279,0.041123256,0.195860204,0.0,0.0,0.0,0.0,0.0,0.0,0.223460959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000127796,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000282851,0.008555833,0.480611882,0.0,0.0,0.036235955,0.045157303,0.089026147,0.002380952,0.0,0.0,0.029850746,0.0,0.0,0.215940785,0.011704745,5.91e-05,0.037856285,0.050483927,0.002600759,0.001384388,0.000521148,0.004393191,0.003488549,0.001149769,0.004534397,0.021779072,0.017744907,0.007838603,2.02e-05,0.0,8.67e-05,0.001380832,0.006787767,0.002514794,0.000271046,2.58e-05,0.000290011,0.0,0.001054681,0.0,0.0,0.000236189,0.000159495,0.000446188,0.0,0.000218534,0.0,0.0,0.0,0.0,0.000153355,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
ENSG00000282012,0.003133819,0.403237282,0.0,0.0,0.009391026,0.060198718,0.127543604,0.055462185,0.0,0.0,0.0,0.0,0.0,0.222330633,0.0,0.0,0.0,0.0,0.01307438,0.002743281,0.000849129,0.0,6.21e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000280832,0.009524492,0.521878335,0.0,0.0,0.005531034,0.271834483,0.028027,0.028233396,0.024737833,0.041140091,0.029850746,0.353233831,0.343283582,0.230310531,0.0,0.002084802,0.002012221,0.002785789,0.001140208,0.000438517,0.000374261,0.003822921,0.004442538,0.000574884,0.0,0.002124132,0.001643523,0.0,0.000505139,0.005581703,0.002736136,0.005246054,0.000471181,0.001031363,0.002574935,0.00420067,0.002154369,0.002567578,0.000664157,0.0,0.004058662,0.002352054,0.000747221,0.001672536,0.001949329,0.000848424,0.004029257,0.001440947,0.004004784,0.0,0.002019169,0.001414158,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
ENSG00000280310,0.000637961,0.542333689,0.0,0.0,0.100831901,0.116660936,0.119570075,0.090735435,0.087870105,0.071633238,0.791044776,0.746268657,0.880597015,0.226537974,0.000141694,0.000108429,0.000412763,0.000490722,0.001210792,0.000244754,0.000195179,0.0,0.0,0.0,0.000495308,0.000788707,0.000590641,3.54e-05,0.0,0.0,0.0,0.000471369,0.000136031,0.0,0.0,5.15e-05,5.52e-05,0.0,0.0,0.0,0.0,0.000124656,8.08e-05,0.0,2.31e-05,0.0,0.0,0.000200132,0.0,0.000222924,0.000127796,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000280206,0.000529898,0.351832088,0.0,0.0,0.062951192,0.090178207,0.100663795,0.06015891,0.068104427,0.043132804,0.0,0.0,0.0,0.232012532,0.00321172,0.005046896,0.016797989,0.016503344,0.002682202,0.000456364,0.000108656,0.007441671,0.010256787,0.001694196,0.001833461,0.020371947,0.016531525,0.004875703,0.001025432,0.008352267,0.004648541,0.003404944,0.00166392,0.000668627,0.010145524,0.005265871,0.004046347,0.00168662,0.0025052,0.0,0.006512736,0.003418187,0.000703524,0.004157293,0.003546856,0.006790609,0.001386201,0.003136347,0.009241809,0.0,0.011910543,0.002353753,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000280173,0.001338415,0.418890075,0.0,0.0,0.02739284,0.114812529,0.119059398,0.004239284,0.055110692,0.009420631,0.069651741,0.0,0.243781095,0.215985677,0.002361559,0.001981301,0.002616624,0.00327651,0.0,0.000272798,0.000162984,0.002147313,0.001557993,0.000439729,0.000284597,0.001057585,0.000571381,0.001919874,0.000956396,0.00221993,0.001878685,0.002883666,0.000451466,0.000485905,0.002752517,0.00131432,0.001726257,0.001039078,0.000656187,0.0,0.002194509,0.000921795,0.000694784,0.000368706,0.000645931,0.000530265,0.000514944,0.0,0.002047695,0.0,0.002223642,0.000916725,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0
ENSG00000280106,0.001367058,0.216471007,0.0,0.0,0.210933087,0.282523766,0.339779332,0.0,0.028610983,0.0,0.0,0.0,0.0,0.2170204,0.0,0.000542147,0.002203861,0.000483172,0.0,0.000137674,1.01e-05,0.002541573,0.001213654,0.00130396,0.000727912,0.0,0.001386722,0.001096061,0.0,0.000237643,0.0003372,0.00108692,0.000331207,0.000258518,0.001154281,0.000154626,0.000290011,0.0,0.000536639,0.0,0.000129783,0.00016402,0.0,0.000288552,0.0,4.82e-05,0.0,0.000480316,0.000181212,0.0,8.95e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000279923,0.000803961,0.371042334,0.0,0.0,0.040702765,0.053735023,0.121766004,0.0,0.0,0.0,0.0,0.0,0.0,0.216922581,0.0,0.000226716,0.000316943,0.000264235,0.00024976,4.08e-05,6.24e-05,0.000499866,0.000389498,0.000182745,0.000114933,0.00027784,0.00025038,0.000137892,0.000131336,0.0,0.000245674,0.000892827,0.00018729,4.74e-05,5.61e-05,0.000249119,0.000538592,0.000112943,7.7e-05,0.0,0.000436542,0.000167301,0.00015294,2.4e-05,0.000178785,0.0,0.0,0.0,0.000670484,0.0,2.56e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
