ENSEMBL ID,label,Data Source
ENSG00000093100,0,K562
ENSG00000100181,0,K562
ENSG00000116883,0,K562
ENSG00000117242,1,K562
ENSG00000120055,1,K562
ENSG00000131484,0,K562
ENSG00000149656,0,K562
ENSG00000151303,0,K562
ENSG00000153363,1,K562
ENSG00000163009,0,K562
ENSG00000165511,1,K562
ENSG00000166917,0,K562
ENSG00000167355,0,K562
ENSG00000170846,1,K562
ENSG00000172250,0,K562
ENSG00000172965,1,K562
ENSG00000173727,1,K562
ENSG00000174365,0,K562
ENSG00000175061,1,K562
ENSG00000175611,0,K562
ENSG00000177337,0,K562
ENSG00000177406,0,K562
ENSG00000179406,0,K562
ENSG00000179428,1,K562
ENSG00000179523,1,K562
ENSG00000179743,0,K562
ENSG00000179818,0,K562
ENSG00000179859,1,K562
ENSG00000180279,0,K562
ENSG00000181097,0,K562
ENSG00000181798,0,K562
ENSG00000182109,0,K562
ENSG00000182310,0,K562
ENSG00000182648,0,K562
ENSG00000183154,1,K562
ENSG00000184068,0,K562
ENSG00000186019,1,K562
ENSG00000186056,0,K562
ENSG00000186235,0,K562
ENSG00000186615,0,K562
ENSG00000188185,0,K562
ENSG00000188511,1,K562
ENSG00000188825,0,K562
ENSG00000189223,0,K562
ENSG00000189229,0,K562
ENSG00000196295,0,K562
ENSG00000196366,0,K562
ENSG00000196756,0,K562
ENSG00000197180,1,K562
ENSG00000197989,0,K562
ENSG00000198468,1,K562
ENSG00000198711,0,K562
ENSG00000203279,0,K562
ENSG00000203288,0,K562
ENSG00000203327,0,K562
ENSG00000203334,0,K562
ENSG00000203392,0,K562
ENSG00000203497,1,K562
ENSG00000203499,1,K562
ENSG00000203711,1,K562
ENSG00000203739,0,K562
ENSG00000203865,1,K562
ENSG00000203876,0,K562
ENSG00000203993,0,K562
ENSG00000204054,1,K562
ENSG00000204055,1,K562
ENSG00000204091,1,K562
ENSG00000204650,1,K562
ENSG00000204685,0,K562
ENSG00000204758,0,K562
ENSG00000204929,0,K562
ENSG00000204934,0,K562
ENSG00000205041,0,K562
ENSG00000205611,0,K562
ENSG00000205628,0,K562
ENSG00000205662,0,K562
ENSG00000205663,0,K562
ENSG00000205740,0,K562
ENSG00000205791,1,K562
ENSG00000205913,0,K562
ENSG00000205930,0,K562
ENSG00000205959,0,K562
ENSG00000206567,0,K562
ENSG00000211683,0,K562
ENSG00000212694,0,K562
ENSG00000213062,1,K562
ENSG00000213468,0,K562
ENSG00000213599,0,K562
ENSG00000213963,0,K562
ENSG00000214049,1,K562
ENSG00000214188,0,K562
ENSG00000214194,1,K562
ENSG00000214248,0,K562
ENSG00000214293,0,K562
ENSG00000214401,1,K562
ENSG00000214708,1,K562
ENSG00000214719,0,K562
ENSG00000214770,0,K562
ENSG00000214783,0,K562
ENSG00000214870,0,K562
ENSG00000214919,0,K562
ENSG00000214922,0,K562
ENSG00000215014,1,K562
ENSG00000215022,1,K562
ENSG00000215023,0,K562
ENSG00000215067,0,K562
ENSG00000215068,0,K562
ENSG00000215190,0,K562
ENSG00000215424,0,K562
ENSG00000215447,0,K562
ENSG00000215769,0,K562
ENSG00000216895,0,K562
ENSG00000218018,1,K562
ENSG00000218510,1,K562
ENSG00000219545,1,K562
ENSG00000219665,1,K562
ENSG00000220891,1,K562
ENSG00000221817,0,K562
ENSG00000221953,0,K562
ENSG00000221990,1,K562
ENSG00000222020,0,K562
ENSG00000222033,1,K562
ENSG00000222041,1,K562
ENSG00000223396,1,K562
ENSG00000223478,1,K562
ENSG00000223482,0,K562
ENSG00000223546,0,K562
ENSG00000223608,0,K562
ENSG00000223797,0,K562
ENSG00000223839,0,K562
ENSG00000224032,1,K562
ENSG00000224043,1,K562
ENSG00000224046,0,K562
ENSG00000224086,1,K562
ENSG00000224152,1,K562
ENSG00000224186,0,K562
ENSG00000224281,0,K562
ENSG00000224292,1,K562
ENSG00000224358,0,K562
ENSG00000224597,1,K562
ENSG00000224635,0,K562
ENSG00000224652,0,K562
ENSG00000224660,0,K562
ENSG00000224698,0,K562
ENSG00000224729,0,K562
ENSG00000224738,1,K562
ENSG00000224846,1,K562
ENSG00000224870,1,K562
ENSG00000225173,1,K562
ENSG00000225205,0,K562
ENSG00000225300,0,K562
ENSG00000225335,1,K562
ENSG00000225361,0,K562
ENSG00000225377,1,K562
ENSG00000225439,1,K562
ENSG00000225465,0,K562
ENSG00000225470,1,K562
ENSG00000225484,0,K562
ENSG00000225541,0,K562
ENSG00000225546,0,K562
ENSG00000225733,0,K562
ENSG00000225742,0,K562
ENSG00000225791,1,K562
ENSG00000225793,0,K562
ENSG00000225855,0,K562
ENSG00000225880,1,K562
ENSG00000225914,0,K562
ENSG00000225964,0,K562
ENSG00000225986,1,K562
ENSG00000226009,0,K562
ENSG00000226043,1,K562
ENSG00000226067,1,K562
ENSG00000226137,1,K562
ENSG00000226180,0,K562
ENSG00000226200,0,K562
ENSG00000226266,0,K562
ENSG00000226287,1,K562
ENSG00000226328,0,K562
ENSG00000226383,0,K562
ENSG00000226416,0,K562
ENSG00000226419,0,K562
ENSG00000226434,0,K562
ENSG00000226453,1,K562
ENSG00000226688,0,K562
ENSG00000226696,0,K562
ENSG00000226752,1,K562
ENSG00000226849,0,K562
ENSG00000226944,1,K562
ENSG00000226950,1,K562
ENSG00000226985,0,K562
ENSG00000227039,0,K562
ENSG00000227199,0,K562
ENSG00000227252,0,K562
ENSG00000227354,0,K562
ENSG00000227372,0,K562
ENSG00000227375,0,K562
ENSG00000227477,1,K562
ENSG00000227518,0,K562
ENSG00000227540,0,K562
ENSG00000227543,0,K562
ENSG00000227627,0,K562
ENSG00000227706,0,K562
ENSG00000227741,0,K562
ENSG00000227896,0,K562
ENSG00000227908,1,K562
ENSG00000227946,0,K562
ENSG00000227953,0,K562
ENSG00000227963,1,K562
ENSG00000228063,1,K562
ENSG00000228084,0,K562
ENSG00000228126,0,K562
ENSG00000228137,0,K562
ENSG00000228172,0,K562
ENSG00000228192,1,K562
ENSG00000228265,1,K562
ENSG00000228274,1,K562
ENSG00000228315,0,K562
ENSG00000228439,0,K562
ENSG00000228486,0,K562
ENSG00000228496,1,K562
ENSG00000228506,1,K562
ENSG00000228526,0,K562
ENSG00000228544,0,K562
ENSG00000228630,0,K562
ENSG00000228649,0,K562
ENSG00000228742,1,K562
ENSG00000228794,1,K562
ENSG00000228889,1,K562
ENSG00000228918,0,K562
ENSG00000228989,0,K562
ENSG00000229043,1,K562
ENSG00000229056,0,K562
ENSG00000229124,0,K562
ENSG00000229153,0,K562
ENSG00000229178,1,K562
ENSG00000229180,0,K562
ENSG00000229191,0,K562
ENSG00000229388,1,K562
ENSG00000229404,0,K562
ENSG00000229666,0,K562
ENSG00000229688,0,K562
ENSG00000229750,1,K562
ENSG00000229776,0,K562
ENSG00000229852,0,K562
ENSG00000229891,1,K562
ENSG00000229893,0,K562
ENSG00000229921,0,K562
ENSG00000229931,0,K562
ENSG00000229970,0,K562
ENSG00000229980,1,K562
ENSG00000230021,0,K562
ENSG00000230185,0,K562
ENSG00000230257,1,K562
ENSG00000230392,0,K562
ENSG00000230424,1,K562
ENSG00000230438,1,K562
ENSG00000230454,0,K562
ENSG00000230487,0,K562
ENSG00000230530,0,K562
ENSG00000230565,0,K562
ENSG00000230590,0,K562
ENSG00000230615,1,K562
ENSG00000230699,0,K562
ENSG00000230724,0,K562
ENSG00000230844,1,K562
ENSG00000230899,1,K562
ENSG00000231025,1,K562
ENSG00000231074,0,K562
ENSG00000231113,0,K562
ENSG00000231154,0,K562
ENSG00000231185,0,K562
ENSG00000231216,0,K562
ENSG00000231233,0,K562
ENSG00000231249,0,K562
ENSG00000231365,0,K562
ENSG00000231439,1,K562
ENSG00000231453,0,K562
ENSG00000231527,0,K562
ENSG00000231607,0,K562
ENSG00000231689,0,K562
ENSG00000231721,0,K562
ENSG00000231789,1,K562
ENSG00000231889,0,K562
ENSG00000231890,0,K562
ENSG00000231908,1,K562
ENSG00000231999,0,K562
ENSG00000232006,0,K562
ENSG00000232021,0,K562
ENSG00000232063,1,K562
ENSG00000232093,1,K562
ENSG00000232098,0,K562
ENSG00000232265,0,K562
ENSG00000232300,0,K562
ENSG00000232442,0,K562
ENSG00000232453,1,K562
ENSG00000232527,1,K562
ENSG00000232593,0,K562
ENSG00000232645,1,K562
ENSG00000232671,1,K562
ENSG00000232759,0,K562
ENSG00000232850,0,K562
ENSG00000232860,0,K562
ENSG00000232876,1,K562
ENSG00000232940,0,K562
ENSG00000232949,0,K562
ENSG00000232956,0,K562
ENSG00000233006,0,K562
ENSG00000233013,0,K562
ENSG00000233016,0,K562
ENSG00000233029,0,K562
ENSG00000233058,0,K562
ENSG00000233080,0,K562
ENSG00000233175,0,K562
ENSG00000233178,0,K562
ENSG00000233184,0,K562
ENSG00000233215,0,K562
ENSG00000233223,1,K562
ENSG00000233296,0,K562
ENSG00000233316,0,K562
ENSG00000233338,0,K562
ENSG00000233360,0,K562
ENSG00000233396,0,K562
ENSG00000233452,0,K562
ENSG00000233461,1,K562
ENSG00000233527,0,K562
ENSG00000233593,1,K562
ENSG00000233627,0,K562
ENSG00000233746,0,K562
ENSG00000233766,0,K562
ENSG00000233806,0,K562
ENSG00000233871,0,K562
ENSG00000233922,1,K562
ENSG00000233937,0,K562
ENSG00000233967,0,K562
ENSG00000234006,0,K562
ENSG00000234028,0,K562
ENSG00000234072,0,K562
ENSG00000234142,1,K562
ENSG00000234171,1,K562
ENSG00000234327,1,K562
ENSG00000234350,0,K562
ENSG00000234432,0,K562
ENSG00000234449,0,K562
ENSG00000234494,1,K562
ENSG00000234509,0,K562
ENSG00000234593,1,K562
ENSG00000234608,1,K562
ENSG00000234665,1,K562
ENSG00000234684,0,K562
ENSG00000234722,1,K562
ENSG00000234771,0,K562
ENSG00000234817,0,K562
ENSG00000234912,0,K562
ENSG00000234936,0,K562
ENSG00000234948,0,K562
ENSG00000235106,1,K562
ENSG00000235245,0,K562
ENSG00000235314,1,K562
ENSG00000235335,1,K562
ENSG00000235381,0,K562
ENSG00000235385,1,K562
ENSG00000235423,0,K562
ENSG00000235437,0,K562
ENSG00000235453,1,K562
ENSG00000235475,0,K562
ENSG00000235488,0,K562
ENSG00000235530,0,K562
ENSG00000235560,0,K562
ENSG00000235643,0,K562
ENSG00000235652,0,K562
ENSG00000235659,0,K562
ENSG00000235781,1,K562
ENSG00000235823,0,K562
ENSG00000235824,0,K562
ENSG00000235897,0,K562
ENSG00000235908,0,K562
ENSG00000235919,0,K562
ENSG00000235997,1,K562
ENSG00000236081,0,K562
ENSG00000236088,0,K562
ENSG00000236137,1,K562
ENSG00000236144,0,K562
ENSG00000236194,0,K562
ENSG00000236200,0,K562
ENSG00000236208,1,K562
ENSG00000236255,0,K562
ENSG00000236266,0,K562
ENSG00000236269,0,K562
ENSG00000236393,1,K562
ENSG00000236499,0,K562
ENSG00000236514,0,K562
ENSG00000236519,0,K562
ENSG00000236528,0,K562
ENSG00000236548,0,K562
ENSG00000236618,1,K562
ENSG00000236723,0,K562
ENSG00000236753,1,K562
ENSG00000236756,0,K562
ENSG00000236778,0,K562
ENSG00000236810,1,K562
ENSG00000236850,0,K562
ENSG00000236859,1,K562
ENSG00000236901,0,K562
ENSG00000237036,0,K562
ENSG00000237037,0,K562
ENSG00000237094,0,K562
ENSG00000237166,1,K562
ENSG00000237188,0,K562
ENSG00000237298,0,K562
ENSG00000237310,1,K562
ENSG00000237311,1,K562
ENSG00000237424,0,K562
ENSG00000237429,1,K562
ENSG00000237489,0,K562
ENSG00000237491,0,K562
ENSG00000237643,1,K562
ENSG00000237686,0,K562
ENSG00000237857,1,K562
ENSG00000237883,1,K562
ENSG00000237927,0,K562
ENSG00000237940,0,K562
ENSG00000237943,1,K562
ENSG00000237945,1,K562
ENSG00000238009,0,K562
ENSG00000238035,0,K562
ENSG00000238045,0,K562
ENSG00000238122,0,K562
ENSG00000238164,1,K562
ENSG00000238178,0,K562
ENSG00000238197,0,K562
ENSG00000239213,0,K562
ENSG00000239332,1,K562
ENSG00000239467,0,K562
ENSG00000239569,0,K562
ENSG00000239653,0,K562
ENSG00000239665,0,K562
ENSG00000239705,1,K562
ENSG00000240015,0,K562
ENSG00000240240,0,K562
ENSG00000240288,0,K562
ENSG00000240401,0,K562
ENSG00000241014,0,K562
ENSG00000241135,0,K562
ENSG00000241666,0,K562
ENSG00000241764,1,K562
ENSG00000242086,0,K562
ENSG00000242288,0,K562
ENSG00000242588,0,K562
ENSG00000242622,0,K562
ENSG00000242687,0,K562
ENSG00000242797,0,K562
ENSG00000242798,0,K562
ENSG00000243107,0,K562
ENSG00000243224,0,K562
ENSG00000243479,1,K562
ENSG00000243819,1,K562
ENSG00000244041,0,K562
ENSG00000244151,0,K562
ENSG00000244468,1,K562
