ENSEMBL ID,label,Data Source
ENSG00000283103,1,HUVEC
ENSG00000283064,1,HUVEC
ENSG00000282851,1,HUVEC
ENSG00000281501,1,HUVEC
ENSG00000281189,1,HUVEC
ENSG00000281181,1,HUVEC
ENSG00000280832,1,HUVEC
ENSG00000280800,1,HUVEC
ENSG00000280721,1,HUVEC
ENSG00000280614,1,HUVEC
ENSG00000280441,1,HUVEC
ENSG00000280426,1,HUVEC
ENSG00000280417,1,HUVEC
ENSG00000280206,1,HUVEC
ENSG00000280187,1,HUVEC
ENSG00000280173,1,HUVEC
ENSG00000280161,1,HUVEC
ENSG00000280132,1,HUVEC
ENSG00000280088,1,HUVEC
ENSG00000280079,1,HUVEC
ENSG00000279809,1,HUVEC
ENSG00000279692,1,HUVEC
ENSG00000279673,1,HUVEC
ENSG00000279504,1,HUVEC
ENSG00000279423,1,HUVEC
ENSG00000279369,1,HUVEC
ENSG00000279227,1,HUVEC
ENSG00000279212,1,HUVEC
ENSG00000279117,1,HUVEC
ENSG00000279069,1,HUVEC
ENSG00000278996,1,HUVEC
ENSG00000278993,1,HUVEC
ENSG00000278970,1,HUVEC
ENSG00000278962,1,HUVEC
ENSG00000278921,1,HUVEC
ENSG00000278916,1,HUVEC
ENSG00000278834,1,HUVEC
ENSG00000278727,1,HUVEC
ENSG00000278709,1,HUVEC
ENSG00000278611,1,HUVEC
ENSG00000278390,1,HUVEC
ENSG00000278291,1,HUVEC
ENSG00000278238,1,HUVEC
ENSG00000278175,1,HUVEC
ENSG00000277969,1,HUVEC
ENSG00000277806,1,HUVEC
ENSG00000277491,1,HUVEC
ENSG00000277283,1,HUVEC
ENSG00000277232,1,HUVEC
ENSG00000277159,1,HUVEC
ENSG00000277067,1,HUVEC
ENSG00000276931,1,HUVEC
ENSG00000276170,1,HUVEC
ENSG00000276131,1,HUVEC
ENSG00000276077,1,HUVEC
ENSG00000275964,1,HUVEC
ENSG00000275494,1,HUVEC
ENSG00000275457,1,HUVEC
ENSG00000275450,1,HUVEC
ENSG00000275202,1,HUVEC
ENSG00000274902,1,HUVEC
ENSG00000274828,1,HUVEC
ENSG00000274605,1,HUVEC
ENSG00000274425,1,HUVEC
ENSG00000274265,1,HUVEC
ENSG00000274104,1,HUVEC
ENSG00000274021,1,HUVEC
ENSG00000273783,1,HUVEC
ENSG00000273702,1,HUVEC
ENSG00000273619,1,HUVEC
ENSG00000273471,1,HUVEC
ENSG00000273456,1,HUVEC
ENSG00000273391,1,HUVEC
ENSG00000273382,1,HUVEC
ENSG00000273314,1,HUVEC
ENSG00000273297,1,HUVEC
ENSG00000273270,1,HUVEC
ENSG00000273186,1,HUVEC
ENSG00000273145,1,HUVEC
ENSG00000273133,1,HUVEC
ENSG00000273132,1,HUVEC
ENSG00000273117,1,HUVEC
ENSG00000273080,1,HUVEC
ENSG00000273026,1,HUVEC
ENSG00000273015,1,HUVEC
ENSG00000273014,1,HUVEC
ENSG00000272913,1,HUVEC
ENSG00000272870,1,HUVEC
ENSG00000272855,1,HUVEC
ENSG00000272841,1,HUVEC
ENSG00000272831,1,HUVEC
ENSG00000272780,1,HUVEC
ENSG00000272767,1,HUVEC
ENSG00000272744,1,HUVEC
ENSG00000272716,1,HUVEC
ENSG00000272711,1,HUVEC
ENSG00000272701,1,HUVEC
ENSG00000272695,1,HUVEC
ENSG00000272688,1,HUVEC
ENSG00000272686,1,HUVEC
ENSG00000272667,1,HUVEC
ENSG00000272654,1,HUVEC
ENSG00000272599,1,HUVEC
ENSG00000272572,1,HUVEC
ENSG00000272501,1,HUVEC
ENSG00000272476,1,HUVEC
ENSG00000272447,1,HUVEC
ENSG00000272335,1,HUVEC
ENSG00000272277,1,HUVEC
ENSG00000272273,1,HUVEC
ENSG00000272269,1,HUVEC
ENSG00000272221,1,HUVEC
ENSG00000272173,1,HUVEC
ENSG00000272143,1,HUVEC
ENSG00000272142,1,HUVEC
ENSG00000272092,1,HUVEC
ENSG00000272086,1,HUVEC
ENSG00000271851,1,HUVEC
ENSG00000271737,1,HUVEC
ENSG00000271646,1,HUVEC
ENSG00000271643,1,HUVEC
ENSG00000271367,1,HUVEC
ENSG00000271122,1,HUVEC
ENSG00000270964,1,HUVEC
ENSG00000270959,1,HUVEC
ENSG00000270820,1,HUVEC
ENSG00000270696,1,HUVEC
ENSG00000270673,1,HUVEC
ENSG00000270607,1,HUVEC
ENSG00000270504,1,HUVEC
ENSG00000270194,1,HUVEC
ENSG00000270175,1,HUVEC
ENSG00000270067,1,HUVEC
ENSG00000270049,1,HUVEC
ENSG00000270021,1,HUVEC
ENSG00000269934,1,HUVEC
ENSG00000269906,1,HUVEC
ENSG00000269893,1,HUVEC
ENSG00000269890,1,HUVEC
ENSG00000269646,1,HUVEC
ENSG00000269386,1,HUVEC
ENSG00000269293,1,HUVEC
ENSG00000269210,1,HUVEC
ENSG00000268996,1,HUVEC
ENSG00000268895,1,HUVEC
ENSG00000268713,1,HUVEC
ENSG00000268592,1,HUVEC
ENSG00000268516,1,HUVEC
ENSG00000268027,1,HUVEC
ENSG00000268001,1,HUVEC
ENSG00000267882,1,HUVEC
ENSG00000267655,1,HUVEC
ENSG00000267583,1,HUVEC
ENSG00000267522,1,HUVEC
ENSG00000267493,1,HUVEC
ENSG00000267475,1,HUVEC
ENSG00000267321,1,HUVEC
ENSG00000267317,1,HUVEC
ENSG00000267279,1,HUVEC
