ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,K562_nucleus,MCF.7_cell,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000283103,0.010687142,0.483991462,0.0,0.0,0.010090909,0.002218182,0.015202684,0.0,0.0,0.0,0.0,0.0,0.0,0.221938247,0.003576688,0.002626949,0.00285986,0.006855003,0.009148808,0.001613845,0.000758582,0.008223152,0.004973158,0.000365489,0.000667708,0.003620883,0.003511745,0.001290523,0.000495036,0.005575907,0.003550233,0.000457381,0.004142437,0.00033562,0.001420024,0.000254457,0.001958072,0.011313461,0.006849788,0.007138017,0.000611024,0.0,0.005698644,0.002340481,0.000236457,0.0,6.35e-05,0.001049261,0.0,0.001524801,0.000319489,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282860,0.000350878,0.331910352,0.0,0.0,0.038029703,0.084866337,0.198381827,0.011551155,0.0,0.0,0.0,0.0,0.0,0.216289665,0.0,0.000280931,0.000294831,0.0,0.0,0.0,1.81e-05,0.000394261,0.0,0.0,0.000322908,0.000349541,0.0001926,6.36e-05,0.000254253,0.000388343,0.000298663,0.000151803,0.000471923,0.000278879,0.000468224,0.0,0.000196275,0.000197578,0.0,0.00017318,7.7e-05,0.0,0.000365752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282849,0.003591458,0.44681608,0.0,0.0,0.010994024,0.014876494,0.031882975,0.004716981,0.0,0.0,0.044776119,0.07960199,0.0,0.234762281,0.0,0.003085309,0.000316943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000378854,0.001136047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001975775,0.0,9.04e-05,0.0,0.0,0.001097255,0.0,0.000755509,0.0,0.0,0.0,0.0,0.0,6.39e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
ENSG00000281649,0.006889324,0.312522234,0.0,0.0,0.147779772,0.205356172,0.188062414,0.086587436,0.046920821,0.034264547,0.422885572,0.014925373,0.069651741,0.224270671,0.009132793,0.01817671,0.045514517,0.033655951,0.013177541,0.004216903,0.002652018,0.010546473,0.006152943,0.003135214,0.006800227,0.018937934,0.008898134,0.010826253,0.004719682,0.010977928,0.009682454,0.011600123,0.017891133,0.005640353,0.022682003,0.003969801,0.01517389,0.015668757,0.016986369,0.00523304,0.009858747,0.0,0.025472822,0.005856547,0.048958147,0.02057108,0.02467096,0.014955542,0.033469846,0.014398673,0.025955272,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
ENSG00000281501,0.026515726,0.348452508,0.0,0.0,0.154655337,0.200423968,0.280811836,0.019986216,0.061337009,0.020905123,0.064676617,0.0,0.0,0.215942448,0.002404496,0.00283395,0.005601787,0.006688913,0.0,0.00031614,0.000136826,0.002787986,0.003855468,0.000262696,0.000637607,0.0,0.002824804,0.00314322,0.000215526,0.004312344,0.003844079,0.000897018,0.0,0.000450311,0.002851561,0.000448007,0.005677942,0.011365003,0.000966704,0.0,0.001291121,0.0,0.0,0.009813456,0.000622863,0.000800219,0.0,0.00023444,0.0,0.0,0.002760383,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
ENSG00000281468,0.000369106,0.172002846,0.0,0.0,0.009187697,0.014460568,0.11530511,0.0,0.0,0.0,0.0,0.0,0.0,0.60441301,0.0,0.00208973,0.004053925,0.000558668,0.0,7.9e-05,2.62e-05,0.000471705,0.000395143,0.0,0.0,0.00083352,0.0,0.000848563,0.0,0.0,0.000602143,0.000652556,0.0,7.97e-05,0.0,0.0,0.000799118,0.000609913,0.0,0.0,0.000882001,0.0,0.0,0.000205727,0.003771779,0.001651857,0.002987165,0.002084227,0.000969484,0.001567157,0.001955272,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000281189,0.001196502,0.421736037,0.0,0.0,0.025103937,0.084446194,0.08325328,0.0,0.0,0.0,0.154228856,0.199004975,0.0,0.219725535,8.59e-05,0.000202073,0.000471729,0.000422776,0.00024433,7.9e-05,9.66e-05,9.86e-05,0.000163702,1.33e-05,0.0,0.000233027,0.00017976,7.07e-05,7.41e-05,0.000353566,0.000342017,0.000100545,0.000188769,6.52e-05,0.0,2.03e-05,0.000500033,0.000146036,0.0,0.0,0.0,0.0,0.000353953,0.000275194,0.0,0.000128549,5.13e-05,0.0,0.000543636,0.0,0.000306709,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,1,0.0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSG00000280832,0.009524492,0.521878335,0.0,0.0,0.005531034,0.271834483,0.028027,0.028233396,0.024737833,0.041140091,0.029850746,0.353233831,0.343283582,0.230310531,0.0,0.002084802,0.002012221,0.002785789,0.001140208,0.000438517,0.000374261,0.003822921,0.004442538,0.000574884,0.0,0.002124132,0.001643523,0.0,0.000505139,0.005581703,0.002736136,0.000471181,0.008421207,0.001418539,0.006470703,0.001031363,0.002574935,0.00420067,0.002154369,0.002567578,0.000664157,0.0,0.004058662,0.001672536,0.001949329,0.000848424,0.004029257,0.001440947,0.004004784,0.0,0.002019169,0.001414158,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
ENSG00000280744,0.022803186,0.407861971,0.0,0.0,0.000511628,0.001077519,0.001996403,0.0,0.0,0.0,0.0,0.0,0.0,0.267384064,0.0,0.000162644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018061,0.001613265,0.0,0.0,0.0,0.000289808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000280739,0.088849685,0.359124867,0.0,0.0,0.079145833,0.073676282,0.116800564,0.039815668,0.050691244,0.03797235,0.452736318,0.63681592,0.44278607,0.215952701,0.003254658,0.000630862,0.000936088,0.00104184,0.0,0.000193763,0.000255543,0.001668568,0.001016082,0.00039214,0.000405003,0.00083352,0.000609901,0.002124944,4.38e-05,0.000220254,0.000298663,0.000317406,0.0,0.0,8.83e-05,0.001048959,0.000401895,0.0,0.000593832,0.0,0.000215187,0.0,0.000637116,0.0,0.00209351,0.000880562,0.000241609,0.0,0.0,0.0,0.000830671,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
