ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,K562_nucleus,MCF.7_cell,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000282907,0.004786658,0.759694059,0.0,0.0,0.756300813,0.325878049,0.520139111,0.496172582,0.281837161,0.39874739,0.069651741,0.099502488,0.0,0.216458701,0.0,0.0,0.0,0.0,0.000819864,0.000221808,0.000714314,0.000718118,0.0,0.000207491,0.002098903,0.0,0.0001284,0.000233355,0.000107763,5.8e-05,0.0,0.000831827,0.000419923,0.0,0.0,0.0,0.0,0.0,0.001030839,0.0,0.001129433,0.007332294,0.0,0.0,0.0,0.001083689,0.000264506,0.0,8.03e-05,0.002257458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
ENSG00000282393,0.001922345,0.328708645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.224114659,0.0,0.000862507,0.001171953,0.00052092,6.52e-05,2.04e-05,1.01e-05,0.000682916,0.000434657,0.000333128,0.000268178,0.000950034,0.000552121,0.001074847,0.000294664,0.000817259,0.000785194,0.001070284,0.000218833,0.0,0.0,0.000840501,0.000230094,0.000827157,0.000317842,0.0,0.000361419,0.000263006,0.0,0.000955673,0.00055767,0.0,0.000133589,0.000853552,0.000662028,0.000317264,0.004717386,0.0,0.002062049,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000281881,0.000413372,0.473319104,0.0,0.0,0.186217949,0.257958689,0.080063217,0.179487179,0.272079772,0.0,0.0,0.0,0.0,0.218202269,0.000158869,0.000369646,0.000154786,0.000309532,0.002948251,0.000359482,0.001488994,0.000922288,9.03e-05,0.002095853,0.003319386,0.002572261,0.0,0.000378318,0.000666783,0.0,0.000346834,0.002833757,0.000376551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000248475,0.0,0.001854157,0.0,0.0,0.002420821,0.0,0.004544589,5.14e-05,0.012817478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,1,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000281856,0.002159301,0.595339737,0.0,0.0,0.001881295,0.035557554,0.07478505,0.002760525,0.0,0.0,0.0,0.0,0.0,0.216991304,0.0,0.002454447,0.0,0.0,0.000646118,5.86e-05,0.000285726,0.000112646,0.0,1.14e-05,0.0,0.000188214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000184219,0.0,9.35e-06,0.009603986,0.0,0.00067013,0.0,1.03e-05,0.000637116,0.0,0.0,6.15e-05,0.0,0.0,0.0,1.72e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ENSG00000281453,0.000848227,0.208288865,0.0,0.0,0.334313139,0.378933577,0.342624907,0.34379562,0.323357664,0.271532847,0.736318408,0.651741294,0.651741294,0.242659323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000443495,0.0,0.0,0.0,0.000140442,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000281398,0.005907645,0.404838136,0.0,0.0,0.018782178,0.066055446,0.186683756,0.021376434,0.023983316,0.008863399,0.268656716,0.169154229,0.0,0.216045532,0.10462565,0.03220846,0.119222236,0.118286551,0.112147554,0.041215508,0.032345366,0.016974331,0.015416227,0.008219705,0.018624685,0.06541788,0.01935633,0.093925348,0.010909317,0.003929797,0.022356353,0.010098377,0.026307281,0.0,0.0,0.062235425,0.05883372,0.008075295,0.09133236,0.147947135,0.008832166,0.010658392,0.0,0.014087332,0.014669991,0.047234409,0.002546208,0.098250794,0.023942281,0.073192875,0.021940132,0.026012975,0.011449386,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,0,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
ENSG00000281344,0.133414489,0.298292423,0.0,0.0,0.152861293,0.20282352,0.215914944,0.079059172,0.085844174,0.058562711,0.587064677,0.84079602,0.691542289,0.21602087,8.59e-06,2.46e-05,0.000206382,1.51e-05,3.26e-05,7.65e-06,1.61e-05,2.11e-05,0.0,4.19e-05,3.56e-05,4.48e-05,0.0,4.6e-05,8.42e-06,0.0,9.63e-06,1.11e-05,0.00014786,0.0,2.29e-05,0.0,5.28e-05,1.4e-05,0.0,0.000138101,0.0,2.66e-05,0.0,0.0,0.0,6.55e-06,0.0,5.77e-05,6.43e-06,0.0,5.72e-05,0.0,1.78e-05,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
ENSG00000281207,0.019030105,0.514585557,0.0,0.0,0.048931613,0.105530323,0.11282358,0.14970809,0.128857381,0.140325271,0.0,0.0,0.0,0.21834498,0.000227568,0.002119302,0.000324314,0.000505821,0.000944743,0.000155521,0.000917542,0.000591391,5.08e-05,0.000896591,0.001551601,0.0,3.21e-05,0.00031114,0.001038902,5.8e-05,0.00037092,0.00016082,0.001460858,0.0,0.001708283,0.000322384,0.0,0.000271046,0.001640753,0.049039511,0.0,0.00066947,0.0,0.00060172,1.64e-05,0.000749406,0.0,0.00355839,5.14e-05,0.000575957,0.000563227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0
ENSG00000281205,0.00437003,0.523301316,0.0,0.0,0.04674587,0.156097345,0.108354521,0.047050147,0.105162242,0.059587021,0.0,0.0,0.0,0.216986316,0.0,0.000118287,9.58e-05,0.000128343,0.001042475,0.000226907,0.000503038,1.41e-05,0.0,1.52e-05,4.65e-05,4.48e-05,0.0,0.0,7.07e-05,1.74e-05,2.89e-05,0.000854009,0.000169546,0.0,0.0,7.68e-06,0.0,7.94e-05,1.72e-05,0.000359061,6.78e-05,0.000185964,0.000121012,0.0,5.58e-05,0.000417308,1.07e-05,4.61e-05,0.0,9.27e-05,9.72e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ENSG00000281195,0.001507019,0.280327286,0.0,0.0,0.063057718,0.132348322,0.107474386,0.020458772,0.035957843,0.0,0.0,0.0,0.0,0.242932552,0.0,0.001375082,0.002049075,0.000294433,0.000537526,0.000155521,0.00013079,0.000591391,0.0,0.001926434,0.00138741,0.001469863,3.21e-05,0.000434889,0.000570807,1.16e-05,0.0,0.000776372,0.001431286,0.0,0.0,0.000775256,0.000326192,0.00129915,0.000206168,0.0,0.0,0.001415983,0.0,0.000283162,1.31e-05,0.00031025,1.07e-05,0.001459113,9.64e-06,0.005154325,0.000428853,0.0,1.56e-05,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
