ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,K562_nucleus,MCF.7_cell,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000260806,0.000940015,0.557452864,0.015764364,0.307349855,0.018565189,0.026064196,0.214356094,0.012574454,0.0,0.0,0.487562189,0.427860697,0.412935323,0.216194894,0.001807666,0.000648628,0.001102236,0.002595329,0.000494606,0.000323957,0.000506907,0.000220151,3.62e-05,0.00047068,0.002043469,0.002015883,0.000756636,0.0,0.0,0.000154149,0.000693189,0.00022869,0.0,0.001002032,0.0,0.000401988,0.001649641,0.000609894,0.000688067,4.72e-05,0.00090848,0.000423173,0.000565878,0.001779407,0.001320699,0.00097376,0.0,0.000960631,0.001440635,0.0,0.001597444,0.000247763,0.000229312,6.88e-05,0.000324955,0.000297621,0.747953082,0,0,0,0,0,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
ENSG00000226711,0.023353915,0.377090004,0.050142469,0.087797654,0.017284058,0.049544928,0.227276468,0.0,0.0,0.0,0.0,0.0,0.0,0.227607059,0.0,0.0,0.0,0.00122708,0.000415571,0.00028975,0.001591124,0.00114027,0.000955603,0.0,0.000179252,0.0,0.0,0.000353597,0.000765093,0.000452811,0.009649191,0.000329235,0.0,0.0,0.0,2.17e-05,0.002715131,0.002499812,0.001678989,0.0,0.005026134,0.002581682,0.004426519,0.000387408,9.23e-05,0.0,0.0,0.000637562,0.002219846,0.0,0.000421725,0.0,0.000603822,0.0,0.001857852,0.002852772,0.354863032,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000182109,0.015519368,0.495375311,0.032653195,0.182040827,0.236343612,0.075229075,0.27605855,0.111730013,0.03440367,0.123197903,0.0,0.0,0.0,0.225157141,0.000214687,0.006073516,0.0095049,0.00431107,0.001409883,0.003559499,0.000556189,0.000174992,0.001111697,0.001001563,0.000734932,0.0,0.0,0.002717648,0.000394139,0.002490462,0.014690061,0.012104819,0.001321385,0.004632284,0.0,0.00086759,0.000163562,0.001950154,0.001617887,0.005626055,0.006736907,0.001210471,0.047815581,9.62e-05,0.006863022,2.57e-05,0.016883342,0.0,0.000380545,8.69e-05,1.28e-05,0.0,0.001779105,0.0,0.002640528,0.003654361,0.732060693,0,0,0,0,0,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
ENSG00000273066,0.006999339,0.709178228,0.046583478,0.07771445,0.286699392,0.125108601,0.279772708,0.299815072,0.163892742,0.291493296,0.024875622,0.154228856,0.0,0.213461771,0.000695586,0.00075919,0.000558668,0.000472372,0.000234556,0.000474868,0.000401301,0.000254021,0.000449247,0.120299703,0.041684965,0.008217613,0.000845028,8.92e-05,4.64e-05,0.000120429,0.003854131,0.000686071,0.000550577,0.000511881,0.000506603,0.001507793,0.001289804,0.000128002,0.004208099,0.000193825,0.0,0.000265713,0.006185328,0.000341988,0.000905458,0.000151045,0.001076258,0.009509106,0.0,0.001346462,0.000600639,0.0,0.000150565,0.0,0.00031765,0.000442908,0.583910901,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000196668,0.001971819,0.528637496,0.021801548,0.270626928,0.001606061,0.005272727,0.005147914,0.251819505,0.244056283,0.13197477,0.089552239,0.0,0.0,0.219159402,0.00331477,0.004186598,0.01053164,0.006716365,0.002172189,0.004396555,0.000112646,2.82e-05,0.000422597,0.0,0.0,0.0,0.001789054,0.007964357,8.11e-05,0.002509731,0.006759979,0.00731415,0.0,0.000796796,0.000414493,0.0,0.0,0.0,0.023046249,0.0,0.001038262,0.00128592,0.049261956,0.000459547,0.017716978,0.0,0.003233655,0.0,0.0,0.0,0.000434505,0.0,0.001221019,0.0,0.00103388,0.000903938,0.883034483,1,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
ENSG00000256542,0.002268015,0.712913554,0.010174784,0.166464351,0.013244355,0.021857258,0.109614615,0.0,0.0,0.0,0.0,0.0,0.0,0.230358471,0.0,0.0,0.0,0.001862339,0.000351833,0.002171114,0.0,0.0,0.0,0.000175137,0.000152364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.77e-05,0.000245075,0.0,0.0,0.000140196,0.0,0.001187513,0.0,0.0,0.0,0.0,5.88e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.28e-05,0.0,0.000235842,0.0,0.000138104,0.0,0.944886595,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000279594,0.000986235,0.371931697,0.0,0.0,0.261906448,0.284792035,0.26689263,0.256005057,0.267383059,0.205436157,0.223880597,0.233830846,0.0,0.218703281,2.58e-05,0.00038328,0.0,4.34e-05,1.27e-05,1.81e-05,0.000260494,0.0,0.000348357,0.00080727,0.00079767,0.0,8.13e-05,0.000158277,0.0,4.34e-05,0.000266185,0.000406123,0.0,0.000275257,0.000506603,0.00011234,0.000500033,0.0,0.000361301,0.0,0.0,1.64e-05,9.61e-05,0.0,0.000288362,0.0,0.000390479,0.0,0.0,0.0,8.95e-05,0.000179152,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
ENSG00000261286,0.005230626,0.54642476,0.031987249,0.012559256,0.034263158,0.057859649,0.184964287,0.172621035,0.105509182,0.152587646,0.0,0.0,0.0,0.243336576,1.29e-05,8.11e-05,0.0,0.000228042,5.1e-05,0.000219325,0.000232332,0.000112898,0.000395947,0.000952305,0.000403316,0.0,1.06e-05,0.002884343,0.000463693,0.001430691,0.000371549,0.000274034,0.000167795,0.0,0.0,4.2e-05,0.000574804,0.000572246,0.004011509,0.0,0.001875951,6.56e-05,0.001356796,0.000192368,0.004884857,0.0001639,0.0,0.000514624,4.53e-05,0.0,0.000166134,6.29e-05,0.00012266,0.0,0.000203996,0.00019433,0.689686172,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000244879,0.011181236,0.383849164,0.030862782,0.2265799,0.05502478,0.114970811,0.156453904,0.040228212,0.054316819,0.023985562,1.0,1.0,1.0,0.215964894,0.012962812,0.017675111,0.015537,0.021034114,0.00809217,0.00482112,0.007068531,0.005955371,0.00352545,0.026464785,0.038664575,0.01269236,0.012116776,0.00358817,0.001704071,0.00406085,0.015244613,0.005326909,0.011845272,0.015975768,0.018821073,0.007582279,0.024440851,0.006460357,0.02806462,0.001511631,0.009014005,0.005655426,0.025589037,0.012330275,0.026529329,0.003483682,0.018901631,0.043339909,0.005526964,0.01711389,0.011271565,0.009296847,0.003413735,0.003050724,0.006458466,0.007621068,0.63549722,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
ENSG00000251136,0.096508468,0.31020989,0.045950283,0.177228738,0.016750733,0.021642229,0.011961655,0.031070042,0.05731887,0.032275345,0.0,0.064676617,0.0,0.215954086,0.0,0.028053158,0.01174712,0.005087497,0.000938223,0.001328021,0.002633098,0.00141687,0.003390295,0.003409691,0.005942191,0.001759083,0.003677108,0.003576384,0.001466429,0.003670662,0.00600579,0.010910109,0.002286206,0.001958188,0.00422553,0.002845046,0.013701831,0.001054137,0.017137908,0.0,0.004955343,0.00232253,0.004437443,0.002775982,0.005824918,0.001340125,0.036624503,0.003485147,0.005699116,0.001272897,0.002300319,0.001677168,0.00087351,0.0,0.002247906,0.00420658,0.474088652,0,1,0,0,0,0,0,0,0,0,0,0.0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0
