ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,K562_nucleus,MCF.7_cell,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000280744,0.022803186,0.407861971,0.0,0.0,0.000511628,0.001077519,0.001996403,0.0,0.0,0.0,0.0,0.0,0.0,0.267384064,0.0,0.000162644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018061,0.001613265,0.0,0.0,0.0,0.000289808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000269918,0.001266807,0.357879758,0.021244773,0.049690557,0.05952608,0.065013413,0.080816469,0.049677099,0.03527074,0.0,0.0,0.0,0.0,0.242180202,0.0,0.0,0.00190903,0.000777605,0.001889487,0.00047676,0.001108697,0.000830764,0.000423368,0.000909916,0.0,0.0,0.0,0.0,0.000582594,0.000197069,0.000467263,0.000887161,0.0,0.0,0.0,0.0,0.000616863,0.0,0.0,0.000203298,0.000698693,0.000319965,0.001002867,6.15e-05,0.001182285,0.000147832,0.0,0.002172856,0.0,0.00141111,0.00084345,0.000644185,0.001497033,0.0003683,0.002516328,0.003352108,0.685477342,0,0,0,0,0,1,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
ENSG00000279794,0.000394494,0.467627179,0.0,0.0,0.012786033,0.020985141,0.159809205,0.0,0.0,0.0,0.0,0.0,0.0,0.220719801,0.0,0.0,0.0,0.000566217,0.000499519,0.00021416,0.000249507,0.000725158,0.0,0.00120878,0.002602421,0.002393009,0.00026964,0.000159106,0.000500088,0.0,0.000289028,0.001019249,0.0,0.000248697,0.000230274,0.000246336,0.002373987,0.000472468,0.001988648,0.0,0.001001549,0.0,0.000896681,3.74e-05,0.0,0.0,0.001720549,0.000257312,0.0,0.0,0.0,9.53e-05,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000245522,0.003057003,0.62113127,0.027991572,0.108422287,0.005557692,0.023971154,0.01775148,0.015975656,0.0,0.0,0.0,0.0,0.0,0.216441521,0.0,0.000596362,0.000221123,0.000294433,0.0,3.82e-05,1.61e-05,0.000295696,0.00029918,9.71e-05,0.000161454,0.000976921,0.000988682,3.18e-05,0.000276143,0.00037675,0.00043836,2.17e-05,0.0,0.0,0.0,0.0,0.000163562,0.00130573,0.001394816,0.001061667,5.05e-05,0.000132293,0.001451208,0.000109543,0.000865087,0.001375476,0.000351431,0.000837693,0.001485938,0.00096972,0.000766773,0.0,0.000123084,0.0,0.000253604,0.00025603,0.595588008,0,0,0,1,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0
ENSG00000232677,0.012097816,0.438989683,0.077872029,0.391610245,0.006202952,0.005601476,0.027403197,0.006395106,0.0,0.0,0.0,0.0,0.0,0.216706436,0.0,0.001217366,0.000663369,0.000702109,0.106750571,0.018787398,0.017620427,0.00590687,0.002861965,0.002126311,0.000287334,0.000394354,0.00013482,0.00234062,0.006416948,0.018536122,0.010809665,0.000364722,0.0,2.05e-05,0.0,0.0,0.002383333,0.002963663,0.003259173,0.004788796,0.000714633,0.0,0.006831294,0.000395424,0.000680535,0.0,0.003050618,0.035652,0.006161206,0.016168691,0.007003195,0.003455347,0.002369762,0.001276422,0.00643019,0.009656676,0.440927536,0,0,1,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
ENSG00000257137,0.003387701,0.568125222,0.016670488,0.11741216,0.089611511,0.317467626,0.100934487,0.147798742,0.194339623,0.167924528,0.07960199,0.273631841,0.0,0.219712788,0.0,0.000305574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000351321,0.0,0.000318546,0.0,0.000387876,0.000463878,0.000483352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000901028,0.0,0.00031795,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000257252,0.039406436,0.392564924,0.008700968,0.093931164,0.0099699,0.009153846,0.026281058,0.039488966,0.0,0.0,0.0,0.0,0.0,0.215989279,0.0,0.000625933,0.000132674,0.0,0.0,0.000132575,3.82e-05,0.0,0.0,0.001166901,0.00243823,0.0,0.0,0.001884518,0.0,0.0,8.67e-05,0.00012026,0.0,0.0,0.0,0.001779846,0.0,0.002181943,0.002071508,0.0,0.0,0.0,0.001463006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000316797,0.0,0.000318576,0.000213668,0.845405563,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000231105,0.00417734,0.542333689,0.026321248,0.15548376,0.074253005,0.071744133,0.103101717,0.050484653,0.033117932,0.033925687,0.034825871,0.0,0.328358209,0.230417772,0.0,0.000349931,0.0,0.001494813,0.000157457,2.29e-05,4.02e-05,0.000246413,0.000101608,0.000289346,0.0,0.0,0.0,0.0,0.000104395,0.0,0.0,0.000352893,0.0,0.0,0.0,0.0,0.0,0.0002663,0.002237229,6.78e-05,1.33e-05,9.54e-05,0.000106186,0.0,0.001084242,4.5e-05,0.000368515,0.0,0.0,5.35e-05,2.56e-05,0.0,9.39e-05,0.0,0.000129216,0.000159567,0.757772847,0,0,0,0,0,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
ENSG00000268230,0.010305017,0.658662398,0.044574722,0.024825189,0.004837838,0.007824324,0.027567906,0.094512932,0.023205221,0.0,0.0,0.0,0.0,0.215975424,1.29e-05,8.38e-05,0.0,2.26e-05,9.77e-05,2.29e-05,5.43e-05,0.0,0.0,2.67e-05,0.001836198,0.001245799,0.00017334,1.77e-05,1.68e-05,0.0,0.0,3.94e-05,7.87e-05,0.000276464,7.68e-05,0.0,0.000144869,0.0,0.001035754,0.0,0.000587115,0.0,0.0,3.21e-05,9.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000581639,0.0,0.000644412,0.00070193,0.821174579,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000237548,0.051437853,0.418000711,0.010742475,0.113967649,0.303657658,0.660900901,0.231844227,0.054285714,0.079047619,0.022857143,0.278606965,0.910447761,0.12437811,0.251941354,0.0,0.0,0.0,0.0,0.0,1.02e-05,0.0,0.0,0.000169347,6.66e-05,0.0,0.0,0.0,0.0,0.000205423,0.000550635,0.000597326,0.0,0.0,6.04e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9e-05,0.0,0.0,0.000530265,0.0,0.0,0.0,0.0,0.0,0.0,7.96e-05,0.0,6.88e-05,4.37e-05,0.878847795,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
