ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,H1.hESC_cell,H1.hESC_cytosol,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,K562_nucleus,MCF.7_cell,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000260244,0.001658047,0.240661686,0.02780598,0.018945683,0.04829036,0.071365723,0.136059501,0.041315991,0.034429992,0.047436878,0.0,0.0,0.0,0.216530195,0.0,0.0,0.0,0.0,0.0,0.000309776,0.000118543,6.66e-05,0.0,0.0,0.0,0.0,0.0,2.9e-05,0.0,0.00102592,0.0,0.0,0.0,0.0,1.4e-05,0.0,0.0,0.0,9.03e-05,0.0,5.9e-05,0.0,4.37e-06,3.21e-05,0.000121112,3.86e-05,0.0,0.001132173,0.0,0.0,3.83e-05,0.0,0.004654321,0.004470431,0.008516428,0.011819938,0.650208846,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000224078,0.28695989,0.373710423,0.353813906,0.099003547,0.061608639,0.155431937,0.166491492,0.053241122,0.068499918,0.05719304,0.437810945,0.492537313,0.457711443,0.222645706,0.0,0.026264558,0.197798857,0.057899554,0.072767516,0.023979498,0.017290334,0.026547477,0.029765016,0.064942864,0.02607166,0.0,0.013392917,0.018849114,0.020126016,0.018671739,0.0,0.0,0.0,2.71e-06,0.0,0.025917017,0.037024761,0.013191778,1.86e-05,0.0,0.04691058,0.009988847,0.01482862,0.0,0.03035878,0.006996288,0.017603288,0.062029334,0.022823645,0.022811832,0.040945687,0.026785136,0.054431431,0.017082923,0.052368558,0.050385779,0.855711274,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0
ENSG00000230943,0.017232748,0.331910352,0.006211858,0.0,0.002254237,0.017355932,0.040264572,0.150316456,0.069620253,0.045886076,0.139303483,0.0,0.0,0.273389839,0.0,0.000231645,0.0,0.0,0.0,0.0,0.0,0.0,0.0001724,0.00059153,0.0,0.0,0.001458168,0.015823519,0.003261205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002148729,0.0,0.001396467,0.000139336,0.929651875,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232063,0.018491093,0.423692636,0.022860512,0.266734539,0.017790157,0.08306972,0.089285896,0.042612321,0.026401112,0.041685966,0.0,0.0,0.0,0.217010425,0.001884953,0.000103501,0.0,3.82e-05,3.62e-05,0.000675875,0.000801576,0.000146576,0.0,8.07e-05,0.0,0.001693591,0.000291297,0.000469489,0.000693668,0.00022182,0.000823244,0.000408056,0.0,0.00024769,0.00010281,0.0,5.52e-05,9.79e-05,2.39e-05,0.0,0.00015338,0.0,8.74e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000101469,2.15e-05,0.000174008,0.000137799,0.677422116,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
ENSG00000251513,0.226589938,0.297580932,0.009006649,0.142026855,0.1035,0.079326807,0.077304339,0.227883539,0.198768197,0.182530795,0.0,0.0,0.0,0.242048298,0.000124519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.65e-05,0.0,0.0,0.0,9.47e-05,9.35e-06,0.0,0.0,0.0,5.31e-05,0.0,0.0,0.0,1.31e-05,5.34e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76e-05,0.0,6.23e-06,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ENSG00000253125,0.070565604,0.558342227,0.023177109,0.136576672,0.0110125,0.0276125,0.01260788,0.055886395,0.086578104,0.104443426,0.512437811,1.0,1.0,0.285917921,0.0,0.0,0.0,2.55e-06,2.01e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00299085,0.0,0.0,0.0,0.009558548,6.15e-06,0.0,9.84e-06,4.15e-05,0.002116052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83e-05,0.0,3.24e-05,0.0,0.812657681,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
ENSG00000271204,0.001256392,0.321949484,0.021070099,0.0,0.106741612,0.182146219,0.171543307,0.100650977,0.175262894,0.107661492,0.0,0.0,0.0,0.2652434,0.0,0.00056679,0.0,7.65e-06,3.42e-05,0.000154888,0.0,0.000416886,0.000558248,0.000609456,1.93e-05,0.0,0.000394008,0.0,0.0,0.000255094,0.0,0.0,0.000295518,4.6e-05,6.08e-05,0.0,0.001325765,0.0,0.000361301,0.0,0.0,0.0,0.0,0.0,0.00016725,0.0,0.000205002,0.0,0.0,0.0,0.0,0.0,9.1e-05,0.0,0.000138456,0.000156572,0.723093178,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
ENSG00000273466,0.000449827,0.506937033,0.00754375,0.0,0.301101583,0.542746702,0.397315934,0.332453826,0.506596306,0.435356201,0.074626866,0.099502488,0.139303483,0.223222646,0.0,0.002134088,0.001303094,0.000183565,0.000243471,0.001992425,0.002376504,0.00177605,0.001551601,0.002491598,0.0,0.0,0.001690532,0.001750441,0.0,0.001663654,0.000928116,0.001282118,0.000798284,0.000480491,0.003140392,0.002474014,0.0,0.0,0.005228244,0.0,0.001746168,0.000498622,0.001994774,0.000603823,0.003766011,0.001304774,0.0,0.0,0.0,0.00070667,0.003309904,0.0,0.000668068,0.001656798,0.001944049,0.002393714,0.394382657,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235366,0.013626969,0.350409107,0.004934552,0.0,0.051770701,0.093713376,0.179461686,0.0,0.0,0.0,0.0,0.0,0.0,0.216260846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000525588,0.0,0.000219612,0.0,0.984613395,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000271918,0.001003811,0.56261117,0.016834245,0.0,0.046088254,0.03124363,0.044463697,0.042883779,0.018645121,0.019888129,0.0,0.0,0.0,0.216066593,0.001919303,0.000537218,0.000727561,0.000280447,0.000132802,0.000619553,0.000293535,0.000338839,0.000853791,0.001281649,0.000603481,0.001619342,0.000139755,0.0,0.00030348,0.001203376,0.000665936,0.001758988,0.001596567,0.000965042,0.00118232,0.001116743,0.00255486,0.000391537,0.001737435,0.000158957,0.000637116,0.000360845,0.001332762,0.000860314,0.001280329,0.00035351,0.002757759,0.001864082,0.0,0.0,0.00115016,0.0,0.000394153,0.000258609,0.000523157,0.000547718,0.769219819,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
