ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,K562_nucleus,MCF.7_cell,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.N.DZ_nucleus,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000282164,0.002718493,0.60565635,0.0,0.0,0.004961584,0.016515202,0.107169532,0.0,0.0,0.0,0.0,0.0,0.0,0.315553027,0.0,0.000103501,0.0,2.26e-05,0.000336633,6.88e-05,0.000108656,0.000267534,6.77e-05,0.000188455,0.003179824,0.013972664,0.009097154,1.06e-05,9.09e-05,0.000121719,0.000105977,0.000144183,6.7e-05,0.0,5.79e-05,1.15e-05,0.0,0.000327124,0.000171807,0.001021944,0.000210827,0.000300199,3.59e-05,0.000436542,5.9e-05,8.74e-05,0.000208399,0.0,0.0,8.86e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ENSG00000281649,0.006889324,0.312522234,0.0,0.0,0.147779772,0.205356172,0.188062414,0.086587436,0.046920821,0.034264547,0.422885572,0.014925373,0.069651741,0.224270671,0.009132793,0.01817671,0.045514517,0.033655951,0.013177541,0.004216903,0.002652018,0.010546473,0.006152943,0.003135214,0.006800227,0.018937934,0.008898134,0.010826253,0.004719682,0.010977928,0.009682454,0.01879374,0.011600123,0.017891133,0.005640353,0.022682003,0.003969801,0.01517389,0.015668757,0.016986369,0.00523304,0.009858747,0.0,0.025472822,0.00937541,0.003948035,0.005856547,0.048958147,0.02057108,0.014955542,0.014398673,0.025955272,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
ENSG00000281468,0.000369106,0.172002846,0.0,0.0,0.009187697,0.014460568,0.11530511,0.0,0.0,0.0,0.0,0.0,0.0,0.60441301,0.0,0.00208973,0.004053925,0.000558668,0.0,7.9e-05,2.62e-05,0.000471705,0.000395143,0.0,0.0,0.00083352,0.0,0.000848563,0.0,0.0,0.000602143,0.001214467,0.000652556,0.0,7.97e-05,0.0,0.0,0.000799118,0.000609913,0.0,0.0,0.000882001,0.0,0.0,0.001512269,0.000421677,0.000205727,0.003771779,0.001651857,0.002084227,0.001567157,0.001955272,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000281406,0.001904768,0.530594095,0.0,0.0,0.150683929,0.198272636,0.168393377,0.147343802,0.145339125,0.116939526,0.07960199,0.0,0.139303483,0.221272355,0.002292859,6.9e-05,0.001253031,0.000966344,0.006835816,0.001353794,0.002243551,0.0,0.0,0.0,0.0020387,0.00298454,0.001322522,0.001994124,0.002407829,0.001634517,0.002591622,0.000377095,0.001289341,2.1e-05,2.05e-05,3.84e-05,0.0,7.48e-05,1.72e-05,0.0,0.0,0.000491476,0.0,5.9e-05,0.0,0.0,6.95e-05,0.001782079,0.000302091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
ENSG00000281398,0.005907645,0.404838136,0.0,0.0,0.018782178,0.066055446,0.186683756,0.021376434,0.023983316,0.008863399,0.268656716,0.169154229,0.0,0.216045532,0.10462565,0.03220846,0.119222236,0.118286551,0.112147554,0.041215508,0.032345366,0.016974331,0.015416227,0.008219705,0.018624685,0.06541788,0.01935633,0.093925348,0.010909317,0.003929797,0.022356353,0.010098377,0.026307281,0.0,0.0,0.062235425,0.05883372,0.008075295,0.09133236,0.147947135,0.008832166,0.010658392,0.0,0.014087332,0.014669991,0.047234409,0.002546208,0.098250794,0.023942281,0.021940132,0.011449386,0.092996805,0.148511323,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,0,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
ENSG00000281332,0.001678227,0.471362504,0.0,0.0,0.10226276,0.131328544,0.135555374,0.043478261,0.0,0.011720227,0.0,0.0,0.0,0.245113674,0.00056248,0.001143437,0.000250606,0.0,0.00048866,6.63e-05,0.000197191,0.000535068,0.000485462,0.000295057,0.000965988,0.000950034,0.0002889,0.000523281,7.41e-05,7.54e-05,0.0,0.000743099,0.000230662,0.000382782,0.000213686,0.000341573,0.000366797,0.001051471,0.002800447,0.017994504,0.000293653,0.00136285,0.000108706,0.000401147,0.000357565,0.000758145,0.000537028,0.000772811,0.001185866,0.000343083,0.000285343,0.004434505,0.000278257,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000281005,0.002445733,0.521878335,0.0,0.0,0.080993197,0.067294785,0.249564992,0.006082725,0.0,0.0,0.0,0.0,0.0,0.215932749,0.000317737,5.42e-05,0.000456988,0.000626614,4.89e-05,5.1e-06,1.21e-05,0.000633633,0.000214506,0.000308382,0.000623924,0.000770782,0.0,0.00018032,6.23e-05,0.0,7.71e-05,0.000177456,0.00034895,0.000555821,0.00091028,0.0,0.00022468,0.000252353,5.15e-05,0.000234771,0.000158121,0.000770422,9.33e-05,0.000247767,7.22e-05,0.000380165,0.00016565,0.00046138,0.0,0.0,0.0,0.000460064,0.000226799,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
ENSG00000280832,0.009524492,0.521878335,0.0,0.0,0.005531034,0.271834483,0.028027,0.028233396,0.024737833,0.041140091,0.029850746,0.353233831,0.343283582,0.230310531,0.0,0.002084802,0.002012221,0.002785789,0.001140208,0.000438517,0.000374261,0.003822921,0.004442538,0.000574884,0.0,0.002124132,0.001643523,0.0,0.000505139,0.005581703,0.002736136,0.005246054,0.000471181,0.008421207,0.001418539,0.006470703,0.001031363,0.002574935,0.00420067,0.002154369,0.002567578,0.000664157,0.0,0.004058662,0.002352054,0.000747221,0.001672536,0.001949329,0.000848424,0.001440947,0.0,0.002019169,0.001414158,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
ENSG00000280734,0.007992084,0.430273924,0.0,0.0,0.046485484,0.068322581,0.049412335,0.003391473,0.066860465,0.0,0.0,0.0,0.0,0.216533521,0.0,0.00116808,0.003700128,0.003133069,0.00110763,0.000257501,0.000118717,0.000176009,0.000163702,0.000114215,0.002542218,0.004938382,0.002015883,0.000502067,0.000116182,0.0001507,0.000356468,0.002306933,0.001456916,0.000838975,0.000608463,0.001247318,0.000308597,0.002116961,0.000635684,0.000939084,0.0,0.001415983,0.0,0.0,0.000787298,0.000906715,0.000732068,0.000940061,0.000870921,0.0,0.0,0.001571885,0.001522792,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000280441,0.019472771,0.711846318,0.0,0.0,0.003834764,0.003015021,0.030484279,0.0,0.0,0.0,0.0,0.0,0.0,0.368563078,0.0,0.000438646,0.001850064,0.003548295,0.002209831,0.000247303,0.000698217,0.001267267,0.000920119,0.000245563,0.000840108,0.001684965,0.001405982,0.0,0.000316554,0.000765093,0.000375737,0.001475106,0.001109937,0.00210268,0.00080404,0.00064093,0.0,0.000532745,0.000549781,0.001753877,0.001746856,0.005778166,9.85e-05,0.001168045,0.000662643,0.000426047,0.000430157,0.000432543,0.000414571,4.57e-05,0.0,0.003501597,0.000651808,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000280434,0.009240013,0.566880114,0.0,0.0,0.074505995,0.056832059,0.095369674,0.062127481,0.038356357,0.02299979,0.0,0.0,0.0,0.254786428,0.0,5.42e-05,0.000899234,0.000717208,9.77e-05,2.04e-05,6.04e-05,0.000682916,3.95e-05,0.000767147,5.47e-06,0.0,0.0,0.0,3.37e-05,0.0,9.63e-06,7.21e-05,0.001385943,1.57e-05,7e-05,2.69e-05,0.00019355,9.35e-06,1.72e-05,0.000580022,0.0,2.66e-05,7.59e-05,0.000117984,0.0,9.61e-05,0.0,0.000305664,0.0,0.0,0.0,2.56e-05,8.77e-05,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0
ENSG00000280426,0.001068259,0.348096763,0.0,0.0,0.086318501,0.159929157,0.107578654,0.069672131,0.101873536,0.0,0.432835821,0.233830846,0.144278607,0.215964894,0.000253331,0.000414003,0.000840268,0.000619064,0.000168316,3.57e-05,1.41e-05,0.000295696,0.000231441,6.66e-05,7.94e-05,0.000304728,0.0,0.000332354,6.57e-05,6.96e-05,0.000130063,0.000820736,0.000289806,0.000272667,0.00014125,0.000610226,9.34e-05,0.000528072,0.000498239,0.000317631,0.0,7.97e-05,0.0,0.000448341,0.000246031,0.0,0.000192368,0.000265293,0.000170328,0.0,0.000289801,0.000460064,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
