ENSEMBL ID,label,Data Source
ENSG00000283103,1,SK.N.SH
ENSG00000282860,1,SK.N.SH
ENSG00000282849,1,SK.N.SH
ENSG00000281649,1,SK.N.SH
ENSG00000281501,1,SK.N.SH
ENSG00000281468,1,SK.N.SH
ENSG00000281189,1,SK.N.SH
ENSG00000280832,1,SK.N.SH
ENSG00000280744,1,SK.N.SH
ENSG00000280739,1,SK.N.SH
ENSG00000280594,1,SK.N.SH
ENSG00000280441,1,SK.N.SH
ENSG00000280310,1,SK.N.SH
ENSG00000280206,1,SK.N.SH
ENSG00000280194,1,SK.N.SH
ENSG00000280187,1,SK.N.SH
ENSG00000280132,1,SK.N.SH
ENSG00000280079,1,SK.N.SH
ENSG00000279879,1,SK.N.SH
ENSG00000279817,1,SK.N.SH
ENSG00000279778,1,SK.N.SH
ENSG00000279722,1,SK.N.SH
ENSG00000279673,1,SK.N.SH
ENSG00000279561,1,SK.N.SH
ENSG00000279496,1,SK.N.SH
ENSG00000279415,1,SK.N.SH
ENSG00000279369,1,SK.N.SH
ENSG00000279227,1,SK.N.SH
ENSG00000279117,1,SK.N.SH
ENSG00000278996,1,SK.N.SH
ENSG00000278993,1,SK.N.SH
ENSG00000278971,1,SK.N.SH
ENSG00000278970,1,SK.N.SH
ENSG00000278962,1,SK.N.SH
ENSG00000278916,1,SK.N.SH
ENSG00000278834,1,SK.N.SH
ENSG00000278730,1,SK.N.SH
ENSG00000278709,1,SK.N.SH
ENSG00000278390,1,SK.N.SH
ENSG00000278291,1,SK.N.SH
ENSG00000278238,1,SK.N.SH
ENSG00000278177,1,SK.N.SH
ENSG00000278107,1,SK.N.SH
ENSG00000277969,1,SK.N.SH
ENSG00000277782,1,SK.N.SH
ENSG00000277534,1,SK.N.SH
ENSG00000277531,1,SK.N.SH
ENSG00000277159,1,SK.N.SH
ENSG00000277147,1,SK.N.SH
ENSG00000276931,1,SK.N.SH
ENSG00000276900,1,SK.N.SH
ENSG00000276170,1,SK.N.SH
ENSG00000276116,1,SK.N.SH
ENSG00000276075,1,SK.N.SH
ENSG00000275964,1,SK.N.SH
ENSG00000275880,1,SK.N.SH
ENSG00000275765,1,SK.N.SH
ENSG00000275763,1,SK.N.SH
ENSG00000275496,1,SK.N.SH
ENSG00000275294,1,SK.N.SH
ENSG00000275202,1,SK.N.SH
ENSG00000275198,1,SK.N.SH
ENSG00000275055,1,SK.N.SH
ENSG00000274964,1,SK.N.SH
ENSG00000274828,1,SK.N.SH
ENSG00000274818,1,SK.N.SH
ENSG00000274605,1,SK.N.SH
ENSG00000274447,1,SK.N.SH
ENSG00000274253,1,SK.N.SH
ENSG00000274021,1,SK.N.SH
ENSG00000273783,1,SK.N.SH
ENSG00000273702,1,SK.N.SH
ENSG00000273680,1,SK.N.SH
ENSG00000273456,1,SK.N.SH
ENSG00000273391,1,SK.N.SH
ENSG00000273384,1,SK.N.SH
ENSG00000273382,1,SK.N.SH
ENSG00000273352,1,SK.N.SH
ENSG00000273320,1,SK.N.SH
ENSG00000273314,1,SK.N.SH
ENSG00000273311,1,SK.N.SH
ENSG00000273297,1,SK.N.SH
ENSG00000273270,1,SK.N.SH
ENSG00000273221,1,SK.N.SH
ENSG00000273174,1,SK.N.SH
ENSG00000273117,1,SK.N.SH
ENSG00000273102,1,SK.N.SH
ENSG00000273080,1,SK.N.SH
ENSG00000273062,1,SK.N.SH
ENSG00000273015,1,SK.N.SH
ENSG00000273014,1,SK.N.SH
ENSG00000273010,1,SK.N.SH
ENSG00000273004,1,SK.N.SH
ENSG00000272986,1,SK.N.SH
ENSG00000272973,1,SK.N.SH
ENSG00000272931,1,SK.N.SH
ENSG00000272913,1,SK.N.SH
ENSG00000272902,1,SK.N.SH
ENSG00000272888,1,SK.N.SH
ENSG00000272870,1,SK.N.SH
ENSG00000272831,1,SK.N.SH
ENSG00000272829,1,SK.N.SH
ENSG00000272711,1,SK.N.SH
ENSG00000272695,1,SK.N.SH
ENSG00000272686,1,SK.N.SH
ENSG00000272667,1,SK.N.SH
ENSG00000272663,1,SK.N.SH
ENSG00000272659,1,SK.N.SH
ENSG00000272654,1,SK.N.SH
ENSG00000272579,1,SK.N.SH
ENSG00000272572,1,SK.N.SH
ENSG00000272502,1,SK.N.SH
ENSG00000272489,1,SK.N.SH
ENSG00000272476,1,SK.N.SH
ENSG00000272360,1,SK.N.SH
ENSG00000272323,1,SK.N.SH
ENSG00000272273,1,SK.N.SH
ENSG00000272163,1,SK.N.SH
ENSG00000272156,1,SK.N.SH
ENSG00000272143,1,SK.N.SH
ENSG00000272142,1,SK.N.SH
ENSG00000272138,1,SK.N.SH
ENSG00000272121,1,SK.N.SH
ENSG00000272112,1,SK.N.SH
ENSG00000272102,1,SK.N.SH
ENSG00000272097,1,SK.N.SH
ENSG00000272086,1,SK.N.SH
ENSG00000272049,1,SK.N.SH
ENSG00000272010,1,SK.N.SH
