ID,gene_length,GC_content,Length_ExonProj,repeat_coverage,hg38_phastCons100way_exons_merged_mean_score,hg38_phastCons20way_exons_merged_mean_score,hg38_phastCons7way_exons_merged_mean_score,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,H1.hESC_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,K562_nucleus,MCF.7_cell,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_1,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_4,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,CRISPR_candidate_is_1,lncRNA_DB_is_1,DISEASE_DB_is_1,GWAS_SNP_is_1,with_repeat_Alu,with_repeat_CR1,with_repeat_ERV1,with_repeat_ERVK,with_repeat_ERVL,with_repeat_ERVL-MaLR,with_repeat_Gypsy,with_repeat_L1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_MIR,with_repeat_SVA,with_repeat_Satellite,with_repeat_Simple_repeat,with_repeat_TcMar-Mariner,with_repeat_TcMar-Tigger,with_repeat_centr,with_repeat_hAT-Blackjack,with_repeat_hAT-Charlie,with_repeat_hAT-Tip100
ENSG00000278996,0.019502716,0.71469228,0.0,0.0,0.00423176,0.003296137,0.01066278,0.0,0.0,0.0,0.0,0.0,0.0,0.317839728,0.0,0.000438646,0.001850064,0.003548295,0.002209831,0.000247303,0.000698217,0.000840108,0.001684965,0.001405982,0.0,0.000316554,0.000765093,0.000375737,0.001475106,0.001109937,0.00210268,0.00080404,0.00064093,0.0,0.000532745,0.000549781,0.001753877,0.001746856,0.005778166,9.85e-05,0.001168045,0.000662643,0.000426047,0.000430157,0.000432543,0.000414571,0.001188521,4.57e-05,0.003923239,0.0,0.003501597,0.000651808,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000276900,0.00131498,0.457132693,0.0,0.0,0.084313848,0.111109727,0.150583633,0.013895544,0.065644466,0.0,0.07960199,0.0,0.0,0.215964617,0.004010357,0.001473654,0.003221027,0.001615606,0.000456083,0.000260051,3.02e-05,0.000385848,0.00135335,0.000866701,0.004561028,0.00024415,0.000202866,0.00023604,0.001303195,0.00049681,0.000298885,0.00020765,0.000495089,0.000896014,0.002607647,0.001632162,0.0,0.000444244,0.00071729,0.0,0.00053093,0.000524866,0.000166049,0.001301158,0.0,0.001761124,0.000890781,0.0,0.0,0.0,0.000434505,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
ENSG00000258976,0.0012284,0.507470651,0.00708523,0.43946058,0.063310811,0.079351351,0.007812315,0.0,0.100699301,0.0,0.089552239,0.044776119,0.109452736,0.216590051,0.0,0.000478075,0.0,0.0,0.0,0.0,0.0,5.47e-05,0.0,0.0,9.9e-05,0.000978286,0.002840119,0.001026051,0.00059337,0.0,0.0,0.0,0.0,2.57e-05,0.0,0.000146036,0.0,0.0,2.66e-05,0.0,0.0,0.001354809,0.0,0.0,0.01185169,0.004965211,0.0,0.0,0.0,0.0,6.39e-05,0.0,0.000129391,0.0,0.000141049,4.24e-05,0.825397557,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000247970,0.013746749,0.559409463,0.010600552,0.0,0.008460123,0.010018405,0.023265819,0.022179364,0.056894889,0.056894889,0.39800995,0.676616915,0.626865672,0.216095412,0.0,0.0,0.000117932,0.000264235,0.0,1.02e-05,3.02e-05,0.0,0.0,0.0,0.0,4.21e-05,6.96e-05,5.3e-05,0.000310549,0.000143917,0.0,0.0,0.0,0.0,0.0,6.01e-05,0.000124291,0.0,0.000124862,8.31e-05,0.0,0.0,0.00060739,4.54e-05,0.000807414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.26e-05,0.0,7.38e-05,3.58e-05,0.672886456,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000274403,0.0003652,0.417644966,0.0,0.0,0.035267516,0.031095541,0.055999171,0.02388535,0.0,0.0,0.213930348,0.0,0.0,0.218870378,0.0,8.38e-05,0.0,0.0,0.000325774,0.0,0.000108656,0.000544565,0.000501905,0.0,0.000318211,0.000148174,0.0,1.93e-05,0.0,0.000279949,0.0,7.61e-05,0.000284005,0.000351909,0.0,3.44e-05,0.0,0.0,0.0,0.0,0.000200573,3.61e-05,0.0,0.0,0.0,0.0,0.0,0.000391686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000255062,0.006479206,0.43205265,0.0,0.0,0.718036364,0.674136364,0.689105691,0.191693291,0.121405751,0.124600639,0.348258707,0.333333333,0.343283582,0.216105665,0.0,0.0,0.00219649,0.0,0.009670046,0.001195724,0.000678096,0.000131352,0.001254761,0.0,0.0,0.0,0.000678151,0.0003372,0.001769018,0.000526382,0.004551437,0.000479285,0.001197426,0.0,0.002355294,0.003994502,0.0,0.0,0.000377241,0.0,0.004554196,0.002119144,0.0,0.000675961,0.0,0.0,0.0,0.0,0.0,0.0,0.000447284,0.0,0.001216938,0.002508949,0.002950223,0.003926454,0.50940539,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000281103,0.024190425,0.369085735,0.0,0.0,0.040438251,0.03784786,0.113411697,0.007515152,0.0,0.0,0.0,0.0,0.0,0.217306377,0.015753745,0.00049779,0.008697511,0.006485075,0.000879589,0.000142773,5.84e-05,0.0,0.0,0.0,0.014828643,0.0,0.0,0.0,0.000277276,0.001336656,0.0,0.0,0.0,0.002295528,0.0,0.000420926,0.000469542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73e-05,9e-05,0.000165954,0.00011722,0.001812119,0.0,0.000102236,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
ENSG00000273599,0.003489254,0.676093917,0.0,0.0,0.04520527,0.044058227,0.076641069,0.044591856,0.030956329,0.040169523,0.0,0.0,0.0,0.26170112,0.0,0.0,0.0,2.26e-05,2.71e-05,5.1e-06,1.81e-05,0.000240813,9.86e-05,1.93e-05,0.0,7.41e-05,0.0,2.89e-05,0.00016082,5.13e-05,0.0,7.12e-05,1.15e-05,0.0,6.08e-05,6.01e-05,0.001215285,0.0,0.000305512,0.000420467,0.000389348,9.84e-06,0.000327728,1.6e-05,4.61e-05,0.0,0.0,6.58e-05,0.0,4.46e-06,1.28e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
ENSG00000279633,0.001206917,0.281928139,0.0,0.0,0.092196773,0.175816242,0.202700543,0.050494534,0.106715253,0.092139511,0.0,0.0,0.0,0.217413063,0.0,6.41e-05,0.000125303,3.02e-05,2.71e-05,0.0,2.01e-06,1.92e-05,8.96e-05,0.0,0.0,1.85e-05,0.0,2.41e-05,0.000149729,5.72e-05,0.0,7.24e-06,0.0,0.0,3.27e-05,2.58e-05,4.14e-05,0.0,7.17e-05,0.0,3.54e-05,0.0,2.4e-05,0.0,0.0,0.0,0.0,8.86e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279474,0.001366407,0.663287086,0.0,0.0,0.100624192,0.035004617,0.119205274,0.093259464,0.0,0.0,0.149253731,0.0,0.0,0.236861102,0.0,0.0,0.0,0.0,7.6e-05,2.04e-05,6.44e-05,0.000413213,0.0,0.0,0.0,5.05e-05,0.0,4.34e-05,5.55e-05,0.0,0.0,0.0,7.68e-06,5.41e-05,8.88e-05,0.0,0.000856224,0.0,0.000502103,0.0,0.0,0.0,0.000201007,0.0,1.15e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
