ID,GC_content,Length_ExonProj,hg38_phastCons7way_exons_merged_mean_score,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,Distance_closest_pc,GM12878_cell,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cytosol,keratinocyte_nucleus,keratinocyte_cytosol,GM12878_nucleus,HeLa.S3_nucleus,K562_nucleus,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,mean_exp,Tau_exp,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,with_repeat_Alu,with_repeat_L1,with_repeat_L2,with_repeat_TcMar-Tigger
ENSG00000283122,0.3452508,0.0,0.124609785,0.388059702,0.47761194,0.231560014,0.0,0.0,0.0,0.000152287,4.93e-05,1.93e-05,0.0,0.0,6.7e-05,3.86e-05,0.000203024,0.000146036,0.000455732,6.78e-05,9.3e-05,0.000212372,2.95e-05,0.000120167,8.02e-06,0.0,0.000251594,0.0,1.28e-05,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0
ENSG00000282508,0.459089292,0.0,0.237210353,0.0,0.0,0.227476264,0.017365539,0.057935933,0.001891042,0.01358212,0.130372795,0.002824804,0.033350957,0.002028656,0.027509877,0.011029594,0.142897941,0.007198694,0.092430708,0.004427377,0.200275227,0.011574265,0.001955124,0.016618017,0.004435159,0.0,0.087185865,0.004575602,0.005827476,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,1,1
ENSG00000282393,0.328708645,0.0,0.0,0.0,0.0,0.224114659,0.001171953,1.01e-05,0.000434657,0.000333128,0.000268178,0.000552121,0.000294664,0.000817259,0.000218833,0.0,0.000230094,0.000317842,0.0,0.000361419,0.000263006,0.000955673,0.00055767,0.0,0.000133589,0.000317264,0.004717386,0.0,0.001329073,0.000800467,0.0,0.0,0.0,0,1,0,0,0,1,1,0,0
ENSG00000282057,0.327107791,0.0,0.408739485,0.084577114,0.412935323,0.215979858,0.0,5.63e-05,0.001800724,0.004330669,0.0,1.93e-05,8.08e-05,0.000162292,0.0,1.93e-05,0.000123168,0.000326432,0.000745743,0.001671561,0.000207217,0.00444801,0.000770896,0.000810582,4.81e-05,9.52e-05,0.0,0.0,5.11e-05,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,1,0
ENSG00000282021,0.450017787,0.0,0.151879035,0.0,0.0,0.217242642,0.0,1.21e-05,0.0,0.0,4.1e-05,1.93e-05,1.01e-05,4.06e-05,9.86e-06,3.62e-06,4.06e-06,0.000231939,0.000441922,0.0,0.000103608,0.0,0.0,6.55e-05,5.08e-05,0.0,0.0,0.0,0.00028115,3.81e-06,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0
ENSG00000281881,0.473319104,0.0,0.080063217,0.0,0.0,0.218202269,0.000154786,0.001488994,9.03e-05,0.002095853,0.003319386,0.0,0.000666783,0.0,0.000376551,0.0,0.0,0.0,0.0,0.000248475,0.0,0.0,0.0,0.002420821,0.0,0.012817478,0.0,0.0,0.000230032,0.001498016,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0
ENSG00000281649,0.312522234,0.0,0.188062414,0.422885572,0.014925373,0.224270671,0.045514517,0.002652018,0.006152943,0.003135214,0.006800227,0.008898134,0.004719682,0.010977928,0.011600123,0.005640353,0.003969801,0.015668757,0.016986369,0.00523304,0.009858747,0.025472822,0.00937541,0.003948035,0.005856547,0.02467096,0.014955542,0.033469846,0.025955272,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,1,1
ENSG00000281501,0.348452508,0.0,0.280811836,0.064676617,0.0,0.215942448,0.005601787,0.000136826,0.003855468,0.000262696,0.000637607,0.002824804,0.000215526,0.004312344,0.000897018,0.000450311,0.000448007,0.011365003,0.000966704,0.0,0.001291121,0.0,0.002112584,0.000231595,0.009813456,0.0,0.00023444,0.0,0.002760383,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0
ENSG00000281468,0.172002846,0.0,0.11530511,0.0,0.0,0.60441301,0.004053925,2.62e-05,0.000395143,0.0,0.0,0.0,0.0,0.0,0.000652556,7.97e-05,0.0,0.000609913,0.0,0.0,0.000882001,0.0,0.001512269,0.000421677,0.000205727,0.002987165,0.002084227,0.000969484,0.001955272,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
ENSG00000281406,0.530594095,0.0,0.168393377,0.07960199,0.0,0.221272355,0.001253031,0.002243551,0.0,0.0,0.0020387,0.001322522,0.002407829,0.001634517,0.001289341,2.05e-05,0.0,1.72e-05,0.0,0.0,0.000491476,5.9e-05,0.0,0.0,6.95e-05,0.003655861,0.0,0.002201725,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0
ENSG00000281398,0.404838136,0.0,0.186683756,0.268656716,0.169154229,0.216045532,0.119222236,0.032345366,0.015416227,0.008219705,0.018624685,0.01935633,0.010909317,0.003929797,0.026307281,0.0,0.05883372,0.09133236,0.147947135,0.008832166,0.010658392,0.014087332,0.014669991,0.047234409,0.002546208,0.073192875,0.021940132,0.026012975,0.092996805,0.148511323,0.0,0.0,0.0,0,0,0,0,1,1,1,1,0
ENSG00000281344,0.298292423,0.0,0.215914944,0.587064677,0.84079602,0.21602087,0.000206382,1.61e-05,0.0,4.19e-05,3.56e-05,0.0,8.42e-06,0.0,0.00014786,2.29e-05,5.28e-05,0.0,0.000138101,0.0,2.66e-05,0.0,0.0,6.55e-06,0.0,0.0,5.72e-05,0.0,1.28e-05,3.81e-05,0.0,0.0,0.0,0,0,0,1,0,1,1,1,1
ENSG00000281332,0.471362504,0.0,0.135555374,0.0,0.0,0.245113674,0.000250606,0.000197191,0.000485462,0.000295057,0.000965988,0.0002889,7.41e-05,7.54e-05,0.000230662,0.000213686,0.000366797,0.002800447,0.017994504,0.000293653,0.00136285,0.000401147,0.000357565,0.000758145,0.000537028,0.000942031,0.000343083,0.002908452,0.004434505,0.000278257,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
ENSG00000281207,0.514585557,0.0,0.11282358,0.0,0.0,0.21834498,0.000324314,0.000917542,5.08e-05,0.000896591,0.001551601,3.21e-05,0.001038902,5.8e-05,0.001460858,0.001708283,0.0,0.001640753,0.049039511,0.0,0.00066947,0.00060172,1.64e-05,0.000749406,0.0,0.000575957,0.000563227,0.0,0.000102236,0.002504317,0.0,0.0,0.0,0,0,0,1,0,1,1,1,0
ENSG00000281195,0.280327286,0.0,0.107474386,0.0,0.0,0.242932552,0.002049075,0.00013079,0.0,0.001926434,0.00138741,3.21e-05,0.000570807,1.16e-05,0.001431286,0.0,0.000326192,0.000206168,0.0,0.0,0.001415983,0.000283162,1.31e-05,0.00031025,1.07e-05,0.005154325,0.000428853,0.0,0.000166134,0.000402139,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0
ENSG00000281183,0.422803273,0.0,0.105301462,0.0,0.0,0.233916268,0.004496171,0.000963821,0.0,0.005659375,0.00401446,0.00016692,0.002626723,0.0,0.005102162,0.001633433,0.002437644,0.000627094,0.008244604,0.000128002,0.006163377,0.003586724,6.23e-05,0.001844019,0.0,0.00518117,0.004534408,0.0,0.000460064,0.001942084,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0
