ENSEMBL ID,label,Data Source
ENSG00000281856,1,IMR.90
ENSG00000280441,1,IMR.90
ENSG00000279692,1,IMR.90
ENSG00000279689,1,IMR.90
ENSG00000279631,1,IMR.90
ENSG00000279393,1,IMR.90
ENSG00000279369,1,IMR.90
ENSG00000279227,1,IMR.90
ENSG00000279170,1,IMR.90
ENSG00000279069,1,IMR.90
ENSG00000278996,1,IMR.90
ENSG00000278970,1,IMR.90
ENSG00000278948,1,IMR.90
ENSG00000278916,1,IMR.90
ENSG00000278200,1,IMR.90
ENSG00000278175,1,IMR.90
ENSG00000277969,1,IMR.90
ENSG00000277639,1,IMR.90
ENSG00000277386,1,IMR.90
ENSG00000277283,1,IMR.90
ENSG00000277147,1,IMR.90
ENSG00000276116,1,IMR.90
ENSG00000276075,1,IMR.90
ENSG00000275964,1,IMR.90
ENSG00000275880,1,IMR.90
ENSG00000275494,1,IMR.90
ENSG00000274712,1,IMR.90
ENSG00000274265,1,IMR.90
ENSG00000273901,1,IMR.90
ENSG00000273674,1,IMR.90
ENSG00000273456,1,IMR.90
ENSG00000273382,1,IMR.90
ENSG00000273366,1,IMR.90
ENSG00000273311,1,IMR.90
ENSG00000273270,1,IMR.90
ENSG00000273254,1,IMR.90
ENSG00000273213,1,IMR.90
ENSG00000273209,1,IMR.90
ENSG00000272944,1,IMR.90
ENSG00000272913,1,IMR.90
ENSG00000272768,1,IMR.90
ENSG00000272767,1,IMR.90
ENSG00000272702,1,IMR.90
ENSG00000272686,1,IMR.90
ENSG00000272667,1,IMR.90
ENSG00000272654,1,IMR.90
ENSG00000272476,1,IMR.90
ENSG00000272447,1,IMR.90
ENSG00000272269,1,IMR.90
ENSG00000272092,1,IMR.90
ENSG00000272086,1,IMR.90
ENSG00000271797,1,IMR.90
ENSG00000271780,1,IMR.90
ENSG00000271380,1,IMR.90
ENSG00000271155,1,IMR.90
ENSG00000271122,1,IMR.90
ENSG00000270504,1,IMR.90
ENSG00000270362,1,IMR.90
ENSG00000270194,1,IMR.90
ENSG00000270177,1,IMR.90
ENSG00000270124,1,IMR.90
ENSG00000269893,1,IMR.90
ENSG00000269386,1,IMR.90
ENSG00000268996,1,IMR.90
ENSG00000268516,1,IMR.90
ENSG00000268001,1,IMR.90
ENSG00000267886,1,IMR.90
ENSG00000267751,1,IMR.90
ENSG00000267383,1,IMR.90
ENSG00000267365,1,IMR.90
